,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,seed_data,seed_models
0,DA,0.38751122574739305,0.8971848225214198,33.12849760055542,0.07345480676600043,-0.019617698434335376,0.016981843302775038,0.005760382440253418,0,0
1,Dragonnet,0.3865911372616853,0.8466118261236237,162.64300513267517,0.09115048497915268,-0.035316672176122665,0.012060543522238731,0.0025227321311831474,0,0
2,CEVAE,0.2895622656127404,0.8451206972638293,340.9720950126648,0.36635661125183105,-0.003029151353985071,-0.05076469108462334,0.020319337025284767,0,0
3,M3E2,0.1635203251093968,0.6963636363636364,102.09022569656372,0.9956571459770203,0.4735281765460968,-0.023781796917319298,0.32659757137298584,0,0
4,TrueTreat,0.7963302752293578,0.0,0.0,-1.0275229357798166,-0.25688073394495414,0.20550458715596334,-0.10275229357798168,0,0
5,DA,0.3830585320889245,0.9010448678549478,8.445245742797852,0.07172350996072628,-0.011217660513404958,0.01645291326917085,0.01637348592486719,0,1
6,Dragonnet,0.3824795616004582,0.8519146813939208,166.93575239181519,0.09788697957992554,-0.010184153914451599,0.010186762548983097,-0.014773759059607983,0,1
7,CEVAE,0.32463765900171954,0.8522355467733729,337.0062210559845,0.07643888890743256,0.05907154455780983,-0.06771587580442429,0.09088360518217087,0,1
8,M3E2,0.14690839279818974,0.676969696969697,103.58369874954224,1.0176252126693726,0.7162719964981079,-0.20001782476902008,0.21561011672019958,0,1
9,TrueTreat,0.7963302752293578,0.0,0.0,-1.0275229357798166,-0.25688073394495414,0.20550458715596334,-0.10275229357798168,0,1
10,DA,0.38872472036472294,0.9023680930619027,9.223927736282349,0.07787113849076949,-0.019197843703214562,0.014323743527058152,-0.006587882260672922,0,2
11,Dragonnet,0.38313735811095345,0.8529464455149114,189.16408371925354,0.10474572330713272,-0.016661273315548897,0.025780469179153442,-0.0021928627975285053,0,2
12,CEVAE,0.28692315611112523,0.8531191552248522,325.3810684680939,0.3691950738430023,0.023873092606663704,-0.04547956958413124,0.00642018998041749,0,2
13,M3E2,0.16954510473740209,0.6918181818181818,101.73932409286499,1.1256316900253296,0.4777613878250122,-0.07463802397251129,0.3310767412185669,0,2
14,TrueTreat,0.7963302752293578,0.0,0.0,-1.0275229357798166,-0.25688073394495414,0.20550458715596334,-0.10275229357798168,0,2
15,DA,0.390736356234106,0.8997157937474625,6.648529291152954,0.05742635016964014,-0.011463330049367391,0.008482742133722805,-0.007765152464258285,0,3
16,Dragonnet,0.38677071266863156,0.8599926558795286,158.81979846954346,0.08513502031564713,-0.0263337641954422,0.009029246866703033,-0.004194309469312429,0,3
17,CEVAE,0.3272305504564162,0.8622259191623318,329.7811772823334,0.1980360895395279,0.05461134761571884,0.03383715823292732,0.0649280697107315,0,3
18,M3E2,0.19473746106404505,0.6951515151515152,99.70631289482117,0.913538932800293,0.5367967486381531,-0.03713931515812874,0.31943684816360474,0,3
19,TrueTreat,0.7963302752293578,0.0,0.0,-1.0275229357798166,-0.25688073394495414,0.20550458715596334,-0.10275229357798168,0,3
20,DA,0.387686038211852,0.8893877551020408,7.780019998550415,0.0598692395761306,-0.022830977540296834,-0.00936364994725034,-0.004485514371776148,0,4
21,Dragonnet,0.38618784431889314,0.8541196752128742,162.1238169670105,0.08391360193490982,-0.021631067618727684,0.009224651381373405,-0.005148709751665592,0,4
22,CEVAE,0.31232656735516745,0.8517150623940986,314.6164400577545,0.17441871762275696,0.03991681709885597,-0.0979146808385849,0.031104065477848053,0,4
23,M3E2,0.19073970244360078,0.7015151515151515,91.89822554588318,1.2374151945114136,0.5918610095977783,-0.08485988527536392,0.2001938670873642,0,4
24,TrueTreat,0.7963302752293578,0.0,0.0,-1.0275229357798166,-0.25688073394495414,0.20550458715596334,-0.10275229357798168,0,4
25,DA,0.39582190672311945,0.8938321536905965,9.546117544174194,0.05269667323980101,-0.023635371422669735,0.006537564606896946,-0.01315081364399627,0,5
26,Dragonnet,0.38718344514779407,0.8501386721883395,160.3524854183197,0.09309634566307068,-0.03149721026420593,0.01552968006581068,-0.00214268546551466,0,5
27,CEVAE,0.3214658523924033,0.8537384849167514,311.87991404533386,0.20610858500003815,0.04256319999694824,-0.057843323796987534,0.00028203209512867033,0,5
28,M3E2,0.4023353163392172,0.7272727272727273,97.45608448982239,-0.3429450988769531,0.22860807180404663,-0.3161490261554718,0.2027084231376648,0,5
29,TrueTreat,0.7963302752293578,0.0,0.0,-1.0275229357798166,-0.25688073394495414,0.20550458715596334,-0.10275229357798168,0,5
30,DA,0.38891088635443133,0.8896579804560261,5.7370829582214355,0.0690994376504024,-0.022857018263640363,0.0025459810757308466,-0.0066794332700407235,0,6
31,Dragonnet,0.3844672713224742,0.8559608486498977,165.88621139526367,0.09655813127756119,-0.0400896817445755,-0.002127947984263301,-0.0038049323484301567,0,6
32,CEVAE,0.3180545082926716,0.8544525930709067,306.4496567249298,0.18625569343566895,0.039010241627693176,-0.08873879164457321,0.006437790580093861,0,6
33,M3E2,0.11759323441517461,0.693939393939394,95.7459864616394,1.1774919033050537,0.43065670132637024,-0.0846504420042038,0.12852615118026733,0,6
34,TrueTreat,0.7963302752293578,0.0,0.0,-1.0275229357798166,-0.25688073394495414,0.20550458715596334,-0.10275229357798168,0,6
35,DA,0.3872199179146878,0.9058314444673398,9.738879203796387,0.06888621802127706,-0.004473570389181364,0.009209986971093884,-0.011421781861037119,0,7
36,Dragonnet,0.3799830501578714,0.8520735493534842,165.19431519508362,0.11649550497531891,-0.011497862637043,0.017445441335439682,-0.01482385117560625,0,7
37,CEVAE,0.30098052729442376,0.8504663278326003,312.380900144577,0.2584865689277649,0.06173272430896759,-0.05578036606311798,0.012738781981170177,0,7
38,M3E2,0.3970554904243268,0.7051515151515152,98.33487892150879,-0.3322620987892151,0.3060642182826996,-0.25307658314704895,0.23443374037742615,0,7
39,TrueTreat,0.7963302752293578,0.0,0.0,-1.0275229357798166,-0.25688073394495414,0.20550458715596334,-0.10275229357798168,0,7
40,DA,0.3803373549036634,0.8911917098445595,6.525406122207642,0.08415535836008241,-0.024159215819230136,-0.00807559520945611,0.003239393093753909,1,0
41,Dragonnet,0.38415031518377024,0.8536618275251888,166.4941885471344,0.10255998373031616,-0.033760130405426025,0.009580593556165695,-0.0031599700450897217,1,0
42,CEVAE,0.3608673881302554,0.8493944924681598,288.765860080719,0.15384282171726227,-0.07187940925359726,-0.06416334956884384,0.003064235905185342,1,0
43,M3E2,0.11647580378782857,0.7154545454545455,87.65962100028992,1.0533078908920288,0.43431803584098816,-0.1967921108007431,0.35672077536582947,1,0
44,TrueTreat,0.7963302752293578,0.0,0.0,-1.0275229357798166,-0.25688073394495414,0.20550458715596334,-0.10275229357798168,1,0
45,DA,0.38186497610005476,0.9012928380874204,7.2197346687316895,0.06253080749406294,-0.009117198187653726,0.0063897580462915085,0.01817679479837895,1,1
46,Dragonnet,0.36980375192649323,0.8482342409191386,168.25699734687805,0.12128611654043198,-0.019442399963736534,0.004947979003190994,0.01654980517923832,1,1
47,CEVAE,0.2839051861286595,0.8511401588292515,283.35581946372986,0.4303200840950012,-0.04702877253293991,0.0006274703191593289,0.07437596470117569,1,1
48,M3E2,0.21119711071662944,0.6912121212121212,88.5215368270874,1.2003436088562012,0.5691896080970764,-0.22922320663928986,0.438692569732666,1,1
49,TrueTreat,0.7963302752293578,0.0,0.0,-1.0275229357798166,-0.25688073394495414,0.20550458715596334,-0.10275229357798168,1,1
50,DA,0.3848133601509411,0.9037400367872471,7.271424293518066,0.06149428837985254,-0.008733948391191418,0.00010422815816819986,0.0007509980244584101,1,2
51,Dragonnet,0.3721976025175269,0.8630797317825147,170.8823595046997,0.11703474074602127,-0.020531991496682167,0.020985446870326996,0.02835283800959587,1,2
52,CEVAE,0.3221006003353711,0.860578034413678,280.81230449676514,0.3178189992904663,0.06359118223190308,-0.05071629211306572,-0.12786832451820374,1,2
53,M3E2,0.18012801256124783,0.6984848484848485,86.66903829574585,1.047416090965271,0.42224130034446716,-0.014294018037617207,0.4468000531196594,1,2
54,TrueTreat,0.7963302752293578,0.0,0.0,-1.0275229357798166,-0.25688073394495414,0.20550458715596334,-0.10275229357798168,1,2
