,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,seed_data,seed_models
0,DA,0.410800072016248,0.8479967787396819,98.706716299057,0.06589608550260681,-0.01717510090107115,-0.00979539627312073,-0.007976643268379898,5,0
1,CEVAE,0.5001084703166004,0.8298537467007591,301.50504779815674,0.1971946805715561,0.04925134778022766,-0.0745653584599495,0.0867619439959526,5,0
2,M3E2,0.9070606563385543,0.6787878787878788,92.50218033790588,0.9737183451652527,0.5574604272842407,-0.010244766250252724,0.494158536195755,5,0
3,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,5,0
4,DA,0.4071319555704928,0.8412924202397886,15.407052755355835,0.06934647008886,-0.009311439802383428,0.010362755497989838,-0.013805002965231055,5,1
5,CEVAE,0.49558597441352564,0.8108152155594974,301.58513021469116,0.193368062376976,0.07783624529838562,-0.049240682274103165,0.06923835724592209,5,1
6,M3E2,0.8679958555061337,0.6775757575757576,91.94490551948547,1.0132763385772705,0.5583722591400146,-0.021722450852394104,0.2859518229961395,5,1
7,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,5,1
8,DA,0.4053538492358388,0.8529470931402131,15.081623554229736,0.06647805721294713,-0.02702923890738683,0.009830711777392401,-0.0008632600435283275,5,2
9,CEVAE,0.4893163858126815,0.8229908088825127,301.78445506095886,0.21779008209705353,0.08127126097679138,-0.034767087548971176,0.03077656216919422,5,2
10,M3E2,0.9187373641092297,0.6851515151515152,91.97198486328125,1.1918076276779175,0.4112977981567383,-0.18886934220790863,0.2903141379356384,5,2
11,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,5,2
12,DA,0.4100057581563396,0.8511488511488512,15.2089524269104,0.07045512824209142,-0.019861250217156984,0.012135996667467761,0.00890460080917597,5,3
13,CEVAE,0.5739067613486121,0.825876303711655,250.61739444732666,0.22291485965251923,0.06466692686080933,,0.0469825342297554,5,3
14,M3E2,0.9355356349755045,0.6836363636363636,95.61417651176453,1.038002848625183,0.4916231632232666,-0.09541890770196915,0.5244370698928833,5,3
15,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,5,3
16,DA,0.4052385883426265,0.8534188891116903,20.30223321914673,0.0735051916050146,-0.01860501420284187,0.01717665835668809,-0.00942971613369434,5,4
17,CEVAE,0.5668726247453362,0.8173758116703939,244.40628910064697,0.16021156311035156,0.11622438579797745,,0.03702596202492714,5,4
18,M3E2,0.9830422672588345,0.6884848484848485,93.72852325439453,1.2551321983337402,0.5035922527313232,-0.20947538316249847,0.37130868434906006,5,4
19,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,5,4
20,DA,0.40545152336460355,0.8478348846620801,17.677807807922363,0.06414713622530281,-0.020418696369230393,0.007503140180527706,-0.0070797566758462,5,5
21,CEVAE,0.4819481471698697,0.8215327767254946,298.795193195343,0.18211668729782104,0.0896255373954773,-0.02614009566605091,0.037249717861413956,5,5
22,M3E2,0.9229129116196152,0.6909090909090909,93.81329011917114,0.8835816979408264,0.6231948137283325,-0.14886751770973206,0.4433470666408539,5,5
23,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,5,5
24,DA,0.40660155968756356,0.8419335100958597,16.348716497421265,0.07389757109393366,-0.023053184009121094,0.0047094547854858865,-0.01238924400778822,5,6
25,CEVAE,0.4796616445440765,0.8136938098919977,300.60628390312195,0.19761207699775696,0.08488762378692627,-0.01045277714729309,0.033033549785614014,5,6
26,M3E2,0.8203479248244282,0.7115151515151515,92.2138123512268,0.9132119417190552,0.27264469861984253,-0.3652738034725189,0.13760070502758026,5,6
27,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,5,6
