,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,seed_data,seed_models
0,DA,0.4054004274417147,0.806327018576421,263.333886384964,0.05798781462418468,-0.02203053113553913,0.0012478119504990986,-0.005768312230003693,5,0
1,CEVAE,0.5383703629939108,0.7854910915253468,288.3824803829193,0.19086721539497375,,-0.06458403915166855,0.023880017921328545,5,0
2,M3E2,0.9064537036377903,0.6896969696969697,96.42498683929443,1.056861162185669,0.5344540476799011,-0.0743999034166336,0.3674391508102417,5,0
3,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,5,0
4,DA,0.41167203407821523,0.7978546328832994,231.15539503097534,0.06592147783623628,-0.0003462337234522316,0.0006619648411011502,-0.010885693417537695,5,1
5,CEVAE,0.3353759607453959,0.8001942218985191,178.47332525253296,,0.07849522680044174,,,5,1
6,M3E2,0.9373277547914501,0.6696969696969697,94.45822715759277,1.049940824508667,0.6552870273590088,-0.14060978591442108,0.3108128309249878,5,1
7,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,5,1
8,DA,0.411503921359315,0.8133623819898329,226.28025436401367,0.050276481706596,-0.00965827036895652,-0.008403587996572433,0.004333335644332525,5,2
9,CEVAE,0.4762581122253056,0.7870703114839438,292.63680386543274,0.17600537836551666,0.03230699524283409,-0.08044213801622391,0.02361738681793213,5,2
10,M3E2,0.972587001617622,0.7087878787878787,94.28416633605957,1.04814875125885,0.6117701530456543,-0.033762797713279724,0.604005753993988,5,2
11,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,5,2
12,DA,0.4099766325994523,0.8124771981028822,232.8934862613678,0.05526554481005878,-0.014900551194838659,0.003502044191154111,0.010383030515027432,5,3
13,CEVAE,0.5013671127293226,0.7944959061298399,298.55889105796814,0.22707556188106537,0.07630796730518341,-0.08996280282735825,0.01946156844496727,5,3
14,M3E2,1.0394517044682021,0.6912121212121212,93.58365368843079,1.1874793767929077,0.6652125716209412,-0.31414082646369934,0.3983134925365448,5,3
15,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,5,3
16,DA,0.3978463570083907,0.8161337209302326,226.8090374469757,0.046901463806405294,-0.020759120698026382,0.013073043264849465,-0.014344422268682483,5,4
17,CEVAE,0.703150413706557,0.8068013940152657,180.8658697605133,0.16705040633678436,,-0.00622289814054966,,5,4
18,M3E2,0.5265881280560012,0.723030303030303,96.44976091384888,-0.34352633357048035,0.2276044338941574,-0.44598424434661865,0.1836296170949936,5,4
19,TrueTreat,0.7963302752293578,0.0,0.0,1.0275229357798166,0.25688073394495414,-0.20550458715596334,0.10275229357798168,5,4
20,DA,0.4122522014539523,0.8180003629105426,245.12051248550415,0.05486133753272502,-0.003666579470445368,0.0008858038814283877,0.006039301176242202,5,5
21,CEVAE,0.35252597538429664,0.7847139805364348,205.3938126564026,,0.0956452414393425,,,5,5
