,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,T4,seed_data,seed_models
0,DA,0.45908760885345695,0.2210526315789474,79.77933168411255,-0.056652148465615094,-0.07295748587580161,0.17161677197449596,0.07943396581647283,0.21170295579650417,8,0
1,CEVAE,0.4323863000291345,0.498931039310642,208.7659707069397,-0.08200562745332718,-0.045870788395404816,0.09935719519853592,0.0726592093706131,0.15896396338939667,8,0
2,M3E2,0.4788233658912537,0.5593939393939394,91.72870659828186,-0.13916964828968048,-0.013062099926173687,0.21244123578071594,0.08532353490591049,0.24104559421539307,8,0
3,TrueTreat,0.0,0.0,0.0,0.022801179154954943,0.2728206833180276,-0.4867425772556366,-0.3465873830592348,-0.5741228935505409,8,0
4,DA,0.44201858344593015,0.259765625,79.81423783302307,-0.04295969780514282,-0.09345159159942361,0.16178186977316056,0.052297728721348274,0.15652731299218073,8,1
5,CEVAE,0.3440654076189629,0.4983551418915708,198.073383808136,-0.05162452906370163,-0.04295302927494049,0.09106230735778809,0.06166994199156761,,8,1
6,M3E2,0.5172375329452512,0.5672727272727273,95.64010214805603,-0.20860882103443146,-0.20236486196517944,0.2286204993724823,0.05652972683310509,0.18698903918266296,8,1
7,TrueTreat,0.0,0.0,0.0,0.022801179154954943,0.2728206833180276,-0.4867425772556366,-0.3465873830592348,-0.5741228935505409,8,1
8,DA,0.4408194760564143,0.11161731207289292,81.39865112304688,-0.03316295148950718,-0.0698809960818298,0.11849557984340674,0.10223205784121334,0.17725107868771947,8,2
9,CEVAE,0.41637670180377934,0.49569619516967334,204.25236558914185,-0.04850618168711662,-0.04398875683546066,0.05996370315551758,0.08894804865121841,0.13740210235118866,8,2
10,M3E2,0.4893431246894357,0.5593939393939394,88.58298778533936,-0.07594616711139679,-0.1459950953722,0.11574701219797134,0.10083401203155518,0.3051186203956604,8,2
11,TrueTreat,0.0,0.0,0.0,0.022801179154954943,0.2728206833180276,-0.4867425772556366,-0.3465873830592348,-0.5741228935505409,8,2
12,DA,0.4547660286368133,0.26229508196721313,77.44857382774353,-0.032803981561960495,-0.06609254151823114,0.15399520111243073,0.12660510680695175,0.19125859584609753,8,3
13,CEVAE,0.4295687385517118,0.4689626635935659,200.02787518501282,-0.04856663942337036,-0.05298791453242302,0.09950267523527145,0.08268948644399643,0.16102226078510284,8,3
14,M3E2,0.5101046383994576,0.5618181818181818,89.4024703502655,-0.1961182951927185,-0.11278093606233597,0.1829138696193695,0.11705256998538971,0.2385828047990799,8,3
15,TrueTreat,0.0,0.0,0.0,0.022801179154954943,0.2728206833180276,-0.4867425772556366,-0.3465873830592348,-0.5741228935505409,8,3
16,DA,0.4485185409952891,0.2774566473988439,74.45270729064941,-0.027776305623026007,-0.08532791271532066,0.1704306935935995,0.07792840606245496,0.17805467064364947,8,4
17,CEVAE,0.43058230734047864,0.49077652530070087,204.20254278182983,-0.0554596409201622,-0.05925776809453964,0.09858737885951996,0.085023894906044,0.1515081375837326,8,4
18,M3E2,0.5080937967318055,0.5709090909090909,91.07079887390137,-0.04825889319181442,-0.07738671451807022,0.2638140618801117,0.17302241921424866,0.27491217851638794,8,4
19,TrueTreat,0.0,0.0,0.0,0.022801179154954943,0.2728206833180276,-0.4867425772556366,-0.3465873830592348,-0.5741228935505409,8,4
20,DA,0.43449695399742777,0.23838383838383836,86.10272693634033,-0.04675750905857726,-0.07039443222131973,0.15503836125124568,0.0797698045280468,0.11744994658955467,8,5
21,CEVAE,0.4063900426643846,0.4817142638629468,208.25788378715515,-0.03148140013217926,-0.06331808120012283,0.0727485865354538,0.07112788408994675,0.0901995450258255,8,5
22,M3E2,0.426014186130738,0.5818181818181818,93.59707736968994,-0.009585482999682426,-0.005384393036365509,0.1890871673822403,0.11715094745159149,0.1057882234454155,8,5
23,TrueTreat,0.0,0.0,0.0,0.022801179154954943,0.2728206833180276,-0.4867425772556366,-0.3465873830592348,-0.5741228935505409,8,5
24,DA,0.449873162505685,0.2086776859504132,79.96483373641968,-0.05413339983200585,-0.06582561858026625,0.16147120009620386,0.08049872068711884,0.1843621569944356,8,6
25,CEVAE,0.4256028451639173,0.5018060772414584,209.46945881843567,-0.07547301054000854,-0.033238817006349564,0.10752040892839432,0.07607179880142212,0.1326354742050171,8,6
26,M3E2,0.4966211140769479,0.5466666666666666,91.99312829971313,-0.22820182144641876,-0.13618522882461548,0.15413647890090942,0.052621446549892426,0.20888587832450867,8,6
27,TrueTreat,0.0,0.0,0.0,0.022801179154954943,0.2728206833180276,-0.4867425772556366,-0.3465873830592348,-0.5741228935505409,8,6
28,DA,0.45439411082655284,0.23588709677419356,80.53658080101013,-0.027877249740678397,-0.11150409329695005,0.18832368237903346,0.06455784194378736,0.17663297043392007,8,7
29,CEVAE,0.4193813488501069,0.49261828311337325,214.54253840446472,-0.0003212057054042816,-0.04971857741475105,0.11408137530088425,0.0785943940281868,0.1511164754629135,8,7
30,M3E2,0.5461962953823564,0.5575757575757576,91.83619117736816,-0.19331523776054382,-0.27402976155281067,0.18921618163585663,0.09634596109390259,0.27499961853027344,8,7
31,TrueTreat,0.0,0.0,0.0,0.022801179154954943,0.2728206833180276,-0.4867425772556366,-0.3465873830592348,-0.5741228935505409,8,7
