,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,T4,seed_data,seed_models
0,DA,0.4491781425031414,0.1705989110707804,162.92923092842102,0.05902839832458104,-0.058497767571425247,0.1613940089691096,0.15840759698295745,0.1510905826391486,8,0
1,CEVAE,0.5523116426458176,0.4556074850678889,333.3450789451599,,-0.03422561287879944,0.1395261585712433,,0.14949700236320496,8,0
2,M3E2,0.49862123521772894,0.5948484848484848,181.54592418670654,0.05882452800869942,-0.13596314191818237,0.27077746391296387,0.15062154829502106,0.21944713592529297,8,0
3,TrueTreat,0.0,0.0,0.0,0.022801179154954943,0.2728206833180276,-0.4867425772556366,-0.3465873830592348,-0.5741228935505409,8,0
4,DA,0.43972478403960213,0.09389067524115756,163.26736164093018,0.0199263453535745,-0.04609487088718977,0.14219027316264915,0.1528727710812297,0.1743176340821217,8,1
5,CEVAE,0.415642605896869,0.4655638925778781,381.33648705482483,0.03862699866294861,-0.022196859121322632,0.11664465814828873,0.07990287244319916,0.163369283080101,8,1
6,M3E2,0.5213142950701473,0.5827272727272728,187.27567410469055,0.011482713744044304,-0.14310717582702637,0.2744201421737671,0.22007037699222565,0.2773817777633667,8,1
7,TrueTreat,0.0,0.0,0.0,0.022801179154954943,0.2728206833180276,-0.4867425772556366,-0.3465873830592348,-0.5741228935505409,8,1
8,DA,0.44531983785779483,0.11020663744520978,173.33018016815186,0.039091104864328624,-0.047882299315590585,0.15634119757687637,0.1551941735045441,0.17061805599914937,8,2
9,CEVAE,0.4192258426806119,0.48248602129429863,411.9184093475342,0.04336545243859291,-0.02018594741821289,0.13679596781730652,0.08536683022975922,0.15294265747070312,8,2
10,M3E2,0.5024053277334359,0.5812121212121212,189.34547328948975,0.06150493025779724,-0.14738969504833221,0.2433711141347885,0.15794140100479126,0.24434714019298553,8,2
11,TrueTreat,0.0,0.0,0.0,0.022801179154954943,0.2728206833180276,-0.4867425772556366,-0.3465873830592348,-0.5741228935505409,8,2
12,DA,0.43896037232481716,0.14130434782608695,165.46671104431152,0.030763171837945528,-0.042299470096603,0.15452935530994347,0.1214652057802997,0.18827230057080957,8,3
13,CEVAE,0.4444142521378261,0.4717846104243576,367.56440234184265,0.032205939292907715,,0.12753251194953918,0.07100481539964676,0.16226206719875336,8,3
14,M3E2,0.4407495007532594,0.5784848484848485,182.56081080436707,-0.1451772004365921,-0.1192438155412674,0.1601782739162445,-0.08013096451759338,0.1562044620513916,8,3
15,TrueTreat,0.0,0.0,0.0,0.022801179154954943,0.2728206833180276,-0.4867425772556366,-0.3465873830592348,-0.5741228935505409,8,3
16,DA,0.44692802047642316,0.18800461361014995,164.60045075416565,0.030673453276635197,-0.057570656528323425,0.17814912182188894,0.12552726546700932,0.18524724725977418,8,4
17,CEVAE,0.4313043730219987,0.45665819913948996,409.8670606613159,0.037145860493183136,-0.045253872871398926,0.16711825132369995,0.07013894617557526,0.17939257621765137,8,4
18,M3E2,0.5067096086105493,0.583939393939394,183.19372868537903,0.04119700938463211,-0.20576146245002747,0.27093255519866943,0.06699647754430771,0.29118818044662476,8,4
19,TrueTreat,0.0,0.0,0.0,0.022801179154954943,0.2728206833180276,-0.4867425772556366,-0.3465873830592348,-0.5741228935505409,8,4
20,DA,0.4350862684125027,0.10786802030456853,165.85706973075867,0.023703362644801954,-0.03855201981943939,0.13806276291108477,0.14344300155673448,0.1741978371019681,8,5
21,CEVAE,0.4153790036102918,0.47300196165330516,412.54115891456604,0.030969707295298576,-0.026649026200175285,0.11408840864896774,0.08305960893630981,0.1646559089422226,8,5
22,M3E2,0.45642498339323073,0.5875757575757575,182.15990018844604,0.023194225504994392,-0.06022778898477554,0.1751372367143631,0.1628725677728653,0.20322073996067047,8,5
23,TrueTreat,0.0,0.0,0.0,0.022801179154954943,0.2728206833180276,-0.4867425772556366,-0.3465873830592348,-0.5741228935505409,8,5
24,DA,0.4414160541096632,0.17083587553386212,165.15580105781555,0.02932529914295975,-0.03853378435071379,0.1412440795690065,0.15660198227124364,0.1839027671859074,8,6
25,CEVAE,0.4170944386979726,0.4538465791935307,418.3361518383026,0.049485113471746445,-0.008120924234390259,0.10775905102491379,0.09562195092439651,0.1670127958059311,8,6
26,M3E2,0.46072018692818856,0.6003030303030303,183.03116011619568,-0.037483323365449905,-0.1582988202571869,0.14117972552776337,0.014941067434847355,0.24862328171730042,8,6
27,TrueTreat,0.0,0.0,0.0,0.022801179154954943,0.2728206833180276,-0.4867425772556366,-0.3465873830592348,-0.5741228935505409,8,6
28,DA,0.4550933669791785,0.09413281753707285,167.77398204803467,0.05209763187134385,-0.05290344140388477,0.17474261479974135,0.1487205663324584,0.18953022245997947,8,7
29,CEVAE,0.43254198135754024,0.4846754956512365,370.72837948799133,0.05277043953537941,-0.044364217668771744,0.13611114025115967,,0.18603715300559998,8,7
30,M3E2,0.5004678940315677,0.5748484848484848,186.4424066543579,0.0015902681043371558,-0.28674471378326416,0.18537524342536926,0.051619093865156174,0.27711597084999084,8,7
31,TrueTreat,0.0,0.0,0.0,0.022801179154954943,0.2728206833180276,-0.4867425772556366,-0.3465873830592348,-0.5741228935505409,8,7
