,Method,MAE,F1_Test,Time(s),T0,seed_data,seed_models
0,DA,0.08203591057600511,0.5217391304347826,28.770038843154907,-0.004089992204125948,6,0
1,Dragonnet,0.04789260455032497,0.5136884021901443,17.316134691238403,0.030053313821554184,6,0
2,CEVAE,0.07614322059413105,0.4946236559139785,36.5567352771759,0.001802697777748108,6,0
3,M3E2,0.13218122028371004,0.0,37.03251338005066,-0.0542353019118309,6,0
4,TrueTreat,0.0,0.0,0.0,0.07794591837187916,6,0
5,DA,0.0586674180722926,0.3701340140395661,25.132194995880127,0.019278500299586557,6,1
6,Dragonnet,0.00889296137353092,0.5040816326530613,16.62768793106079,0.06905295699834824,6,1
7,CEVAE,0.06521998584827095,0.5022877478393492,36.893887758255005,0.012725932523608208,6,1
8,M3E2,0.4123889202568898,0.629238884702336,37.10422921180725,0.4903348386287689,6,1
9,TrueTreat,0.0,0.0,0.0,0.07794591837187916,6,1
10,DA,0.08747940015264762,0.4913928012519562,25.039018392562866,-0.009533481780768462,6,2
11,Dragonnet,0.09223307628741174,0.49198966408268735,16.452216386795044,-0.014287157915532589,6,2
12,CEVAE,0.08284269698520809,0.4930519814719506,36.84332895278931,-0.004896778613328934,6,2
13,M3E2,0.0806034061275205,0.0,37.39359903335571,-0.002657487755641341,6,2
14,TrueTreat,0.0,0.0,0.0,0.07794591837187916,6,2
15,DA,0.046398089867182975,0.39080459770114945,25.594968557357788,0.03154782850469618,6,3
16,Dragonnet,0.01571036927958637,0.5017456359102244,16.76741886138916,0.062235549092292786,6,3
17,CEVAE,0.07271208061461955,0.4896307536671725,37.03664445877075,0.005233837757259607,6,3
18,M3E2,0.07298918726479321,0.2370255615801704,37.18228006362915,0.004956731107085943,6,3
19,TrueTreat,0.0,0.0,0.0,0.07794591837187916,6,3
20,DA,0.058140799347565414,0.45439650464227205,25.236882209777832,0.019805119024313738,6,4
21,Dragonnet,0.04579559766312748,0.5082048731974143,16.70140290260315,0.03215032070875168,6,4
22,CEVAE,0.08303203113933712,0.49719244512506383,36.9815788269043,-0.005086112767457962,6,4
23,M3E2,0.07797079840343947,0.0,37.48388433456421,-2.488003156031482e-05,6,4
24,TrueTreat,0.0,0.0,0.0,0.07794591837187916,6,4
25,DA,0.0748343528256201,0.36434612882238127,24.97223448753357,0.003111565546259048,6,5
26,Dragonnet,0.04318505578299671,0.49091852620653864,16.4291250705719,0.034760862588882446,6,5
27,CEVAE,0.07708898192828208,0.5035532994923858,37.04534339904785,0.0008569364435970783,6,5
28,M3E2,0.08903782867451816,0.0,37.10183501243591,-0.011091910302639008,6,5
29,TrueTreat,0.0,0.0,0.0,0.07794591837187916,6,5
30,DA,0.07875574582203934,0.26863468634686344,25.31965732574463,-0.0008098274501601925,6,6
31,Dragonnet,0.0302114752735725,0.5203415369161225,18.099822282791138,0.047734443098306656,6,6
32,CEVAE,0.09702702478130966,0.502260170768458,37.45683455467224,-0.019081106409430504,6,6
33,M3E2,0.10413339041730076,0.0,37.614710330963135,-0.0261874720454216,6,6
34,TrueTreat,0.0,0.0,0.0,0.07794591837187916,6,6
35,DA,0.07285431420012375,0.40796019900497515,25.924163341522217,0.005091604171755394,6,7
36,Dragonnet,0.04425516032239109,0.5263157894736842,16.63811755180359,0.03369075804948807,6,7
37,CEVAE,0.09210157912781149,0.528643216080402,37.233829975128174,-0.014155660755932331,6,7
38,M3E2,0.12383036368151813,0.0,37.67548155784607,-0.04588444530963898,6,7
39,TrueTreat,0.0,0.0,0.0,0.07794591837187916,6,7
40,DA,0.09176685669391785,0.4305717619603267,25.417681217193604,-0.013820938322038696,6,8
41,Dragonnet,0.0472648726459375,0.4933058702368691,16.831379175186157,0.030681045725941658,6,8
42,CEVAE,0.13499190338512568,0.5071283095723014,37.34248757362366,-0.057045985013246536,6,8
43,M3E2,0.1183929932918182,0.0,36.922728061676025,-0.04044707491993904,6,8
44,TrueTreat,0.0,0.0,0.0,0.07794591837187916,6,8
45,DA,0.05191530275200475,0.38170974155069576,25.342108249664307,0.026030615619874405,6,9
46,Dragonnet,0.09136120934595972,0.517118037812979,16.457292079925537,-0.013415290974080563,6,9
47,CEVAE,0.06914671656300932,0.513265306122449,37.279507875442505,0.008799201808869839,6,9
48,M3E2,0.0416662214007011,0.22450592885375492,37.295992851257324,0.036279696971178055,6,9
49,TrueTreat,0.0,0.0,0.0,0.07794591837187916,6,9
50,DA,0.033632312812870435,0.4166172106824925,26.291801691055298,0.04431360555900872,6,10
51,Dragonnet,0.019061182221375997,0.4971867007672634,16.503331899642944,0.05888473615050316,6,10
52,CEVAE,0.07960609050092905,0.5247225025227044,37.34970474243164,-0.0016601721290498972,6,10
53,M3E2,0.0328478520419231,0.22049689440993792,37.413569927215576,0.045098066329956055,6,10
54,TrueTreat,0.0,0.0,0.0,0.07794591837187916,6,10
55,DA,0.05058497725630471,0.47426067907995617,25.78998565673828,0.027360941115574446,6,11
56,Dragonnet,0.024359603008233602,0.4946781550937659,16.94593334197998,0.053586315363645554,6,11
57,CEVAE,0.05062928289731651,0.508816120906801,37.01255822181702,0.027316635474562645,6,11
58,M3E2,0.004868290791309779,0.22720247295208654,37.04064130783081,0.08281420916318893,6,11
59,TrueTreat,0.0,0.0,0.0,0.07794591837187916,6,11
60,DA,0.05499807628979769,0.4603351955307263,25.951449632644653,0.022947842082081466,6,12
61,Dragonnet,0.0007739146854510853,0.5253731343283583,16.475676774978638,0.07717200368642807,6,12
62,CEVAE,0.07235057239046007,0.5055951169888098,37.246246099472046,0.0055953459814190865,6,12
63,M3E2,0.06524075061639457,0.22416534181240066,37.280029296875,0.012705167755484581,6,12
64,TrueTreat,0.0,0.0,0.0,0.07794591837187916,6,12
