,Method,MAE,F1_Test,Time(s),T0,T1,T2,seed_data,seed_models
0,DA,0.1879366174268899,0.015680684248039915,439.0979652404785,-0.11492916640113389,-0.01430998900319166,-0.09268787692516137,0,0
1,Dragonnet,0.2006337914818858,0.4388015905474362,215.73455572128296,-0.0723813995718956,-0.04457953944802284,-0.06687457114458084,0,0
2,CEVAE,0.18653465797050148,0.45563278635095733,276.9863610267639,-0.10103271156549454,-0.049274686723947525,-0.0758255124092102,0,0
3,HiCI,0.2603967573696708,0.4155844155844156,7.162359237670898,0.03946295380592346,-0.024629950523376465,-0.019379615783691406,0,0
4,M3E2,0.09918602607690641,0.0,147.63256335258484,-0.3029671013355255,0.029929054901003838,-0.21514075994491577,0,0
5,TrueTreat,0.0,0.0,0.0,-0.441013086491916,-0.10003930209180582,-0.2446844960264348,0,0
6,DA,0.1846266536364888,0.024793388429752063,213.34799075126648,-0.13356652836975416,-0.01707552353264783,-0.08121487179828815,0,1
7,Dragonnet,0.1894445362393394,0.4570677371274541,115.77693819999695,-0.12457100301980972,-0.02133321575820446,-0.0714990571141243,0,1
8,CEVAE,0.1868679919793541,0.4719332802195427,241.3650679588318,-0.10877040773630142,-0.052050087600946426,-0.0643124133348465,0,1
9,HiCI,0.26191229487005224,,5.589546203613281,0.0,0.0,0.0,0,1
10,M3E2,0.14108123700628117,0.1100123609394314,126.97112107276917,-0.23260986804962158,-0.1107986569404602,-0.040603358298540115,0,1
11,TrueTreat,0.0,0.0,0.0,-0.441013086491916,-0.10003930209180582,-0.2446844960264348,0,1
12,DA,0.18122249472000398,0.010862186014935505,173.87055492401123,-0.14368089369619932,-0.014550416423491624,-0.08383809033045361,0,2
13,Dragonnet,0.18352766107314178,0.46381910024170553,108.74209237098694,-0.1329517811536789,-0.01326864492148161,-0.08893347531557083,0,2
14,CEVAE,0.18657224987490326,0.48302482227383736,249.5314724445343,-0.11289644986391068,-0.03769692778587341,-0.07542675733566284,0,2
15,HiCI,1.343832402883067,0.43619489559164737,6.738455057144165,-0.2799720764160156,-2.044292449951172,1.6815185546875,0,2
16,M3E2,0.1552865868525882,0.0,127.12202835083008,-0.14065027236938477,-0.0045768809504806995,-0.314719021320343,0,2
17,TrueTreat,0.0,0.0,0.0,-0.441013086491916,-0.10003930209180582,-0.2446844960264348,0,2
18,DA,0.1712497276410596,0.03144224196855776,172.6217896938324,-0.15101233715225018,-0.038398795342491625,-0.08257656919223594,0,3
19,Dragonnet,0.15970420951190936,0.4592382335957437,116.45434641838074,-0.1352415531873703,-0.0898982360959053,-0.08148446679115295,0,3
20,CEVAE,0.18606663733267137,0.46222366004735793,242.02750372886658,-0.12058830261230469,-0.05296140909194946,-0.05398726090788841,0,3
21,HiCI,0.26191229487005224,,5.620907545089722,0.0,0.0,0.0,0,3
22,M3E2,0.12299716418792243,0.07682291666666667,125.56822896003723,-0.2288009226322174,-0.17374287545681,-0.1616087406873703,0,3
23,TrueTreat,0.0,0.0,0.0,-0.441013086491916,-0.10003930209180582,-0.2446844960264348,0,3
24,DA,0.19848974742240033,0.012491325468424703,197.88596630096436,-0.08283936525515605,-0.011074430541353557,-0.09635384654644609,0,4
25,Dragonnet,0.2213547480185166,0.46725938086878865,114.94457340240479,-0.048157285898923874,0.011342518962919712,-0.08485787361860275,0,4
26,CEVAE,0.1189677825978433,0.47139125586900976,233.92768931388855,,-0.033203184604644775,-0.07358504831790924,0,4
27,HiCI,0.26191229487005224,,5.285339832305908,0.0,0.0,0.0,0,4
28,M3E2,0.09664715195241917,0.0,144.6963586807251,-0.27219122648239136,-0.010192111134529114,-0.2134120911359787,0,4
29,TrueTreat,0.0,0.0,0.0,-0.441013086491916,-0.10003930209180582,-0.2446844960264348,0,4
30,DA,0.17507738516288765,0.03547066848567531,245.63881754875183,-0.13589964019370054,-0.043861252990097084,-0.08074383593769603,0,5
31,Dragonnet,0.1704706536188061,0.45397102199406975,164.28468823432922,-0.12402892857789993,-0.08135344088077545,-0.06894255429506302,0,5
32,CEVAE,0.1879802903984323,0.4620255857753086,279.2285134792328,-0.10466057062149048,-0.06222657114267349,-0.0549088716506958,0,5
33,HiCI,0.4115180069785261,0.46572104018912525,6.192133665084839,-0.0007123947143554688,-0.3826770782470703,0.26693105697631836,0,5
34,M3E2,0.15429337622765052,0.0,147.7764663696289,-0.01975671388208866,-0.08079931885004044,-0.222300723195076,0,5
35,TrueTreat,0.0,0.0,0.0,-0.441013086491916,-0.10003930209180582,-0.2446844960264348,0,5
36,DA,0.1739182730437201,0.022393282015395383,216.88787388801575,-0.1294949596511353,-0.060619896960440275,-0.07386720886742074,0,6
37,Dragonnet,0.20592638094766288,0.43409498946199815,249.23398971557617,-0.09455325454473495,-0.03351430594921112,-0.03989018127322197,0,6
38,CEVAE,0.1782541609261766,0.46717590798669484,276.49364042282104,-0.13833202421665192,-0.06961573660373688,-0.0430266410112381,0,6
39,HiCI,1.4841611280621034,0.4365361803084223,10.889997959136963,-0.2534599304199219,-2.2913742065429688,1.8289108276367188,0,6
40,M3E2,0.1792263383250379,0.0,134.88878798484802,-0.018455415964126587,-0.16652162373065948,-0.19604547321796417,0,6
41,TrueTreat,0.0,0.0,0.0,-0.441013086491916,-0.10003930209180582,-0.2446844960264348,0,6
42,DA,0.1777793433676399,0.04002760524499655,210.44349837303162,-0.11058271946306406,-0.03428028447862022,-0.10753585056555265,0,7
43,Dragonnet,0.18607832853539139,0.4512690909826477,270.7713408470154,-0.10460969060659409,-0.059254080057144165,-0.0636381283402443,0,7
44,CEVAE,0.10435819615036596,0.46022094278764536,187.611878156662,,-0.07026169449090958,-0.06574571132659912,0,7
45,HiCI,2.3770215406597597,0.4491315136476427,7.067117929458618,-0.311248779296875,-3.8734397888183594,2.98321533203125,0,7
46,M3E2,0.14487623967525157,0.0,143.21983003616333,-0.0824449211359024,-0.06670498847961426,-0.2874107360839844,0,7
47,TrueTreat,0.0,0.0,0.0,-0.441013086491916,-0.10003930209180582,-0.2446844960264348,0,7
48,DA,0.15271971681617735,0.11683053788316948,211.53157305717468,-0.14698973650784675,0.044643507188262085,0.041275988249552295,1,0
