,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,T4,T5,seed_data,seed_models
0,DA,0.5174739153816991,0.19454329774614473,189.54488277435303,-0.03307587202624414,-0.09785994196441695,0.16052399473029308,0.1454516047404901,0.18164829541519606,-0.18075049123977352,8,0
1,CEVAE,0.4607137422118221,0.481480384662035,295.4161536693573,,-0.151084765791893,0.07374207675457001,0.05116374045610428,,,8,0
2,M3E2,0.4939607534606319,0.5993939393939394,180.77237677574158,-0.25408104062080383,-0.1761985570192337,-0.05848919600248337,-0.034929268062114716,0.2522656321525574,-0.06910446286201477,8,0
3,TrueTreat,0.0,0.0,0.0,0.022801179154954943,0.2728206833180276,-0.4867425772556366,-0.3465873830592348,-0.5741228935505409,0.6024585758353853,8,0
4,DA,0.514597304884311,0.1755223880597015,190.1119260787964,-0.02546384099765569,-0.0979663399546822,0.13439557257140358,0.12789308480151973,0.21775163802848227,-0.17858006077834174,8,1
5,CEVAE,0.34252111467145685,0.47781979828701604,345.42930579185486,-0.05121070146560669,,0.06394988298416138,0.056271620094776154,,,8,1
6,M3E2,0.5799076408817432,0.5851515151515152,183.1574513912201,-0.28185421228408813,-0.3059760630130768,0.01405383925884962,-0.012373124249279499,0.18913166224956512,-0.39526990056037903,8,1
7,TrueTreat,0.0,0.0,0.0,0.022801179154954943,0.2728206833180276,-0.4867425772556366,-0.3465873830592348,-0.5741228935505409,0.6024585758353853,8,1
8,DA,0.5169872907457527,0.21540243196294148,187.24007725715637,-0.01882244926263468,-0.09897931931519263,0.16781506072211005,0.14271116911270912,0.18967791823614263,-0.17838453565194684,8,2
9,CEVAE,0.4851732642749013,0.4675193958354689,441.76667761802673,-0.0636889860033989,-0.1338868886232376,0.07190988957881927,0.07230665534734726,0.11394806951284409,-0.14976580440998077,8,2
10,M3E2,0.4829645464866421,0.5918181818181818,183.49873733520508,-0.16512474417686462,0.08193850517272949,0.02261178568005562,0.19174262881278992,0.1459760069847107,-0.1487373262643814,8,2
11,TrueTreat,0.0,0.0,0.0,0.022801179154954943,0.2728206833180276,-0.4867425772556366,-0.3465873830592348,-0.5741228935505409,0.6024585758353853,8,2
12,DA,0.5146956967455981,0.20673900628212452,190.25543689727783,-0.033249342363882606,-0.0820406018592279,0.1544220335190208,0.15390387350332194,0.18274394231120997,-0.17628109474314516,8,3
13,CEVAE,0.4786885427980683,0.4746551785687018,443.215669631958,-0.05957673117518425,-0.11855138838291168,0.0838024914264679,0.05665579438209534,0.1226789653301239,-0.12533259391784668,8,3
14,M3E2,0.6312396356263817,0.5915151515151515,184.68772506713867,-0.11221462488174438,-0.2799684703350067,0.2190406620502472,0.18921144306659698,0.3596917986869812,-0.3217775225639343,8,3
15,TrueTreat,0.0,0.0,0.0,0.022801179154954943,0.2728206833180276,-0.4867425772556366,-0.3465873830592348,-0.5741228935505409,0.6024585758353853,8,3
16,DA,0.5180316033149158,0.21502890173410405,190.6994559764862,-0.029951669251873998,-0.08990951542277402,0.14044183835628632,0.12814430706870206,0.21664808142328965,-0.1975609161927892,8,4
17,CEVAE,0.49798007464047045,0.46836855091838575,440.2541239261627,-0.04975974187254906,,0.06837417185306549,0.06169229373335838,0.12701384723186493,-0.15034770965576172,8,4
18,M3E2,0.6001876273551644,0.5945454545454546,182.74254202842712,-0.22887520492076874,-0.19672250747680664,0.06200270354747772,0.0771142989397049,0.3054550290107727,-0.425422728061676,8,4
19,TrueTreat,0.0,0.0,0.0,0.022801179154954943,0.2728206833180276,-0.4867425772556366,-0.3465873830592348,-0.5741228935505409,0.6024585758353853,8,4
20,DA,0.5151030638008678,0.17531305903398928,188.38958525657654,-0.03475540084301224,-0.08847409881086005,0.15887782569808037,0.12416222881966309,0.20032227432757632,-0.1784932621322347,8,5
21,CEVAE,0.4815852622454162,0.47776727222275583,354.9361062049866,-0.06756371259689331,,,0.0241591464728117,0.14160017669200897,-0.1470479816198349,8,5
22,M3E2,0.5890643749434811,0.5960606060606061,183.29605078697205,-0.25519582629203796,-0.32822316884994507,0.06781186908483505,0.039258964359760284,0.26599785685539246,-0.2723652720451355,8,5
23,TrueTreat,0.0,0.0,0.0,0.022801179154954943,0.2728206833180276,-0.4867425772556366,-0.3465873830592348,-0.5741228935505409,0.6024585758353853,8,5
24,DA,0.5018399678149327,0.11654135338345864,188.59439420700073,0.0013582110980492872,-0.08657105241799831,0.14159811612770049,0.13655708832245128,0.17436074821863148,-0.16777772072708316,8,6
25,CEVAE,0.47263638278335945,0.48532345580077857,438.8500397205353,-0.033892273902893066,-0.12302234768867493,0.040156781673431396,0.060254041105508804,0.12676618993282318,-0.14619337022304535,8,6
26,M3E2,0.6008439514834744,0.5990909090909091,182.2050929069519,-0.11370013654232025,-0.2701980173587799,0.15737244486808777,0.24726936221122742,0.29669153690338135,-0.21429891884326935,8,6
27,TrueTreat,0.0,0.0,0.0,0.022801179154954943,0.2728206833180276,-0.4867425772556366,-0.3465873830592348,-0.5741228935505409,0.6024585758353853,8,6
28,DA,0.5167967338671412,0.1443174984966927,190.66769814491272,-0.020368978483995465,-0.09994850158268276,0.14786940094208587,0.15884860732188993,0.18382385055436024,-0.18438777214405325,8,7
29,CEVAE,0.399329450355969,0.4891210458658973,418.93161177635193,-0.056386932730674744,-0.12478446960449219,,0.0758165717124939,0.12399768829345703,,8,7
30,M3E2,0.6388898979921204,0.5806060606060606,182.28575897216797,-0.12187688797712326,-0.2685633897781372,0.17770349979400635,0.27264755964279175,0.3802931308746338,-0.30672162771224976,8,7
31,TrueTreat,0.0,0.0,0.0,0.022801179154954943,0.2728206833180276,-0.4867425772556366,-0.3465873830592348,-0.5741228935505409,0.6024585758353853,8,7
