,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,T4,T5,T6,T7,T8,seed_data,seed_models
0,DA,0.20132533875199615,0.051948051948051945,323.94339966773987,-0.13159540483738322,-0.01615878975972804,-0.042034617419034984,-0.16051081010261406,-0.12294319817008023,0.05665708206044284,-0.05819486371948915,-0.023034624106348062,-0.018652919409063065,0,0
1,Dragonnet,0.1925840840190749,0.42799992431992745,353.3282492160797,-0.11078087240457535,-0.04311191290616989,-0.07204390317201614,-0.1475909799337387,-0.12044470012187958,0.02950071357190609,-0.10565823316574097,0.00454943161457777,-0.008602231740951538,0,0
2,CEVAE,0.18841011869455157,0.4575149400500391,701.8323066234589,-0.09020302444696426,-0.034555792808532715,-0.0693778470158577,,-0.10716278851032257,0.007137656211853027,-0.05922248214483261,-0.029455125331878662,-0.047373443841934204,0,0
3,M3E2,0.18574987549532634,0.6212121212121212,284.6929757595062,-0.20260560512542725,-0.25659647583961487,-0.25591033697128296,-0.22091200947761536,-0.33479177951812744,0.025519544258713722,-0.2702580690383911,-0.24425409734249115,-0.23471537232398987,0,0
4,TrueTreat,0.0,0.0,0.0,-0.441013086491916,-0.10003930209180582,-0.2446844960264348,-0.5602232998003644,-0.46688949753749187,0.24431946996910275,-0.23752210438139734,0.03783930207442447,0.02580471294838946,0,0
5,DA,0.20424535203591324,0.07726597325408618,212.98741960525513,-0.14392021089892684,0.028716953868841016,-0.03817612991261356,-0.1767082458002759,-0.13108140179847647,0.0325184363576584,-0.04909639626691684,-0.004096164823918045,-0.01856059934400116,0,1
6,Dragonnet,0.1945881669546267,0.4366217239239152,344.5402367115021,-0.12502475082874298,-0.009268997237086296,-0.02858549728989601,-0.1918100267648697,-0.15272508561611176,0.05252314731478691,-0.10756015032529831,-0.011861821636557579,-0.04859406501054764,0,1
7,CEVAE,0.2068469779495786,0.44808857779532746,711.5359361171722,-0.08077316731214523,0.0029532313346862793,-0.07805953174829483,-0.15738047659397125,,-0.043976929038763046,-0.05197546258568764,-0.04527005925774574,-0.03931846842169762,0,1
8,M3E2,0.15249644934915021,0.6242424242424243,287.0103483200073,-0.40179166197776794,-0.12817677855491638,-0.2979232966899872,-0.13197506964206696,-0.21805799007415771,0.058136485517024994,-0.2683299779891968,-0.024399474263191223,-0.2697562575340271,0,1
9,TrueTreat,0.0,0.0,0.0,-0.441013086491916,-0.10003930209180582,-0.2446844960264348,-0.5602232998003644,-0.46688949753749187,0.24431946996910275,-0.23752210438139734,0.03783930207442447,0.02580471294838946,0,1
10,DA,0.19179544617084324,0.037238169123351435,213.83915877342224,-0.16785752256372968,-0.003976661944534507,-0.05345477421937272,-0.19051020308927494,-0.1476673126271077,0.03569093808406001,-0.055379721446646296,-0.022734375316548098,0.0003734971255600579,0,2
11,Dragonnet,0.18699218825148384,0.4361346485088717,348.75183510780334,-0.16421140730381012,0.025654369965195656,-0.07125469297170639,-0.17206338047981262,-0.17638902366161346,0.01446035411208868,-0.10534131526947021,-0.006491919979453087,0.0038316932041198015,0,2
12,CEVAE,0.2161483856572145,0.4506397686106262,780.6682131290436,-0.10107625275850296,-0.0016020238399505615,-0.08343690633773804,-0.17725442349910736,-0.10649430751800537,-0.011365474201738834,-0.03323224186897278,-0.03353828191757202,-0.045192599296569824,0,2
13,M3E2,0.2080898498529166,0.6227272727272727,288.5170373916626,-0.34615814685821533,-0.252412885427475,-0.08887875825166702,-0.3532756268978119,-0.19684258103370667,-0.15198105573654175,-0.045679058879613876,-0.17173506319522858,-0.16925714910030365,0,2
14,TrueTreat,0.0,0.0,0.0,-0.441013086491916,-0.10003930209180582,-0.2446844960264348,-0.5602232998003644,-0.46688949753749187,0.24431946996910275,-0.23752210438139734,0.03783930207442447,0.02580471294838946,0,2
15,DA,0.19754647754723834,0.04430863254392666,213.01992535591125,-0.1546224364532586,-0.023821667438179834,-0.04737141163015208,-0.1501517293555571,-0.14604247783841026,0.05698602701350205,-0.04073680732954513,-0.028439908002785758,-0.01087567565963776,0,3
16,Dragonnet,0.21087077290617515,0.4287677315834509,347.59708428382874,-0.1454336792230606,-0.04091494157910347,-0.00142025260720402,-0.18623726069927216,-0.1350506693124771,-0.0012168397661298513,-0.04746822640299797,-0.04711329936981201,-0.04769657552242279,0,3
17,CEVAE,0.15094113257425942,0.4430663746019239,602.1912968158722,-0.1032698005437851,-0.029546141624450684,-0.06520165503025055,,,,-0.046719763427972794,-0.027002394199371338,-0.03647875785827637,0,3
18,M3E2,0.2492442579973175,0.6227272727272727,289.26214361190796,0.054885994642972946,0.03974604234099388,-0.04679214209318161,-0.31612831354141235,0.04774682596325874,-0.001530444249510765,-0.07751144468784332,-0.08690660446882248,-0.094479039311409,0,3
19,TrueTreat,0.0,0.0,0.0,-0.441013086491916,-0.10003930209180582,-0.2446844960264348,-0.5602232998003644,-0.46688949753749187,0.24431946996910275,-0.23752210438139734,0.03783930207442447,0.02580471294838946,0,3
20,DA,0.20949397542993617,0.03753753753753754,213.56533932685852,-0.13622177399855276,-0.0014471491902628478,-0.03982138228996473,-0.16585801821882992,-0.10940596709184781,0.0319013661239271,-0.050440933346787196,-0.014917690702265746,-0.047289407106005134,0,4
21,Dragonnet,0.2060903177112441,0.4318626333555644,349.71085238456726,-0.17138715088367462,-0.05021732673048973,-0.05425599217414856,-0.22403781116008759,-0.07106874883174896,0.015356221236288548,-0.036202967166900635,-0.036766212433576584,-0.0822375938296318,0,4
22,CEVAE,0.20514841707273787,0.45824874179340475,777.6301441192627,-0.09429896622896194,-0.002913594013080001,-0.06233656406402588,,-0.0907452404499054,-0.021898508071899414,-0.04805269464850426,-0.06026412546634674,-0.05925979092717171,0,4
23,M3E2,0.1719530109209238,0.6112121212121212,279.2672894001007,-0.33268022537231445,-0.1963750720024109,-0.2502294182777405,-0.2819172739982605,-0.1631617546081543,-0.10208892077207565,-0.21580171585083008,-0.22940629720687866,-0.09415068477392197,0,4
24,TrueTreat,0.0,0.0,0.0,-0.441013086491916,-0.10003930209180582,-0.2446844960264348,-0.5602232998003644,-0.46688949753749187,0.24431946996910275,-0.23752210438139734,0.03783930207442447,0.02580471294838946,0,4
25,DA,0.19681421174177666,0.044039483675018976,168.38668012619019,-0.12272318909638448,-0.030826536848224083,-0.06770720429299774,-0.16582692800929838,-0.10048295574190279,0.06151250216599974,-0.06559577730706576,-0.017349655792425655,-0.010318072024110257,0,5
26,Dragonnet,0.19806478615768425,0.4367173674713157,330.06493854522705,-0.11174940317869186,-0.005218117497861385,-0.04433116689324379,-0.16053742170333862,-0.10649773478507996,0.05733419954776764,-0.10372680425643921,-0.027796437963843346,0.01415378600358963,0,5
27,CEVAE,0.2073025617582187,0.4529760056523567,557.1253366470337,,,-0.0786706879734993,,-0.0831838995218277,-0.005199819803237915,-0.06622718274593353,-0.028139889240264893,,0,5
28,M3E2,0.18465833369379772,0.6121212121212121,279.71287536621094,-0.024682115763425827,-0.3545856475830078,-0.20581115782260895,-0.43780404329299927,0.0756135806441307,0.07268369197845459,-0.164450541138649,0.007954533211886883,0.03846461698412895,0,5
29,TrueTreat,0.0,0.0,0.0,-0.441013086491916,-0.10003930209180582,-0.2446844960264348,-0.5602232998003644,-0.46688949753749187,0.24431946996910275,-0.23752210438139734,0.03783930207442447,0.02580471294838946,0,5
30,DA,0.20596366011492617,0.0755813953488372,218.27760577201843,-0.13181333374963214,-0.015676173664701202,-0.05512833426911201,-0.1786297460833694,-0.10584052136270473,0.027728288466444054,-0.03744884332531641,-0.007853576379560743,-0.03974933425472786,0,6
31,Dragonnet,0.20137587334183657,0.4383387598754933,344.36685967445374,-0.14017988741397858,-0.04555302485823631,-0.06253264844417572,-0.1752198338508606,-0.1110394075512886,6.959016172913834e-05,-0.08006948232650757,-0.036008596420288086,-0.032702866941690445,0,6
32,CEVAE,0.22218974698667068,0.44674777736279886,760.1899800300598,-0.09829473495483398,-0.013125330209732056,-0.0605602003633976,-0.18000663816928864,-0.09364444762468338,-0.029130907729268074,-0.03282278776168823,-0.03725126385688782,-0.05344441905617714,0,6
33,M3E2,0.1670992813002832,0.6154545454545455,285.00784516334534,-0.2262263149023056,0.053502559661865234,-0.20454448461532593,-0.34602078795433044,-0.12529264390468597,0.11194322258234024,-0.13553231954574585,-0.19754847884178162,-0.04406699538230896,0,6
34,TrueTreat,0.0,0.0,0.0,-0.441013086491916,-0.10003930209180582,-0.2446844960264348,-0.5602232998003644,-0.46688949753749187,0.24431946996910275,-0.23752210438139734,0.03783930207442447,0.02580471294838946,0,6
35,DA,0.202500620486662,0.02223987291501191,219.20295906066895,-0.15542183338795784,0.005643720913138836,-0.05346608243044682,-0.16404717542911443,-0.14325042779412775,0.015633706894554292,-0.06544322795550914,-0.029411070513290345,-0.026377975523912158,0,7
36,Dragonnet,0.19888614240538086,0.42010797768723074,344.0458517074585,-0.09314162284135818,-0.006662912666797638,-0.03098265267908573,-0.1852640062570572,-0.1499214470386505,0.059882257133722305,-0.07483311742544174,-0.04101664572954178,0.00868861936032772,0,7
37,CEVAE,0.23621428889258492,0.44458854270026815,753.9087707996368,-0.09503479301929474,-0.009229599498212337,-0.07461816072463989,-0.1618257761001587,-0.0933356061577797,-0.02668955735862255,-0.0768311619758606,-0.04136929288506508,,0,7
38,M3E2,0.1670143398179048,0.6284848484848485,286.72950077056885,-0.23865686357021332,-0.009225853718817234,-0.08354808390140533,-0.31915202736854553,-0.2644669711589813,-0.07679499685764313,-0.15092408657073975,-0.15613949298858643,0.022166816517710686,0,7
39,TrueTreat,0.0,0.0,0.0,-0.441013086491916,-0.10003930209180582,-0.2446844960264348,-0.5602232998003644,-0.46688949753749187,0.24431946996910275,-0.23752210438139734,0.03783930207442447,0.02580471294838946,0,7
40,DA,0.20794617471933752,0.11608222490931076,219.71719932556152,-0.11347875412050776,0.017805878234452666,0.05468456267949713,0.041451663338443814,-0.06765288797689728,0.1440825331774066,-0.09519818671810505,0.02970506079577316,-0.021736460261525477,1,0
