,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,T4,seed_data,seed_models
0,DA,0.2546305924033089,0.04265041888804265,215.32342791557312,-0.13760092355493805,-0.04054599389173899,-0.0854520983122179,-0.15414746745397834,-0.12195023671859527,0,0
1,Dragonnet,0.2741109967478885,0.42147014790843806,229.26117324829102,-0.10920483618974686,-0.05320386961102486,-0.038322821259498596,-0.12330471724271774,-0.11825845390558243,0,0
2,CEVAE,0.25779813083497427,0.448435182310882,435.46598839759827,-0.1157064363360405,-0.045739855617284775,-0.1009967252612114,-0.1573925018310547,-0.1040235087275505,0,0
3,M3E2,0.24270292262224097,0.6221212121212121,182.61328434944153,-0.046519964933395386,0.13344556093215942,0.02239779196679592,-0.2698163688182831,-0.4388420879840851,0,0
4,TrueTreat,0.0,0.0,0.0,-0.441013086491916,-0.10003930209180582,-0.2446844960264348,-0.5602232998003644,-0.46688949753749187,0,0
5,DA,0.25481060742112926,0.03179409538228615,79.07863402366638,-0.1352592845961593,-0.048036624617919,-0.08725292958487607,-0.15269038552602457,-0.11555742051738747,0,1
6,Dragonnet,0.28665951306609055,0.43025140074735785,238.250732421875,-0.112049899995327,-0.030629677698016167,-0.06713543832302094,-0.1064814031124115,-0.06325569748878479,0,1
7,CEVAE,0.3206485522521978,0.45228672998187797,430.6178619861603,-0.10895872116088867,,-0.1111677810549736,-0.13868097960948944,-0.07140868902206421,0,1
8,M3E2,0.1800960686686039,0.6139393939393939,181.67593955993652,-0.5143448114395142,-0.007798364385962486,-0.17948612570762634,-0.2934892773628235,-0.0639142096042633,0,1
9,TrueTreat,0.0,0.0,0.0,-0.441013086491916,-0.10003930209180582,-0.2446844960264348,-0.5602232998003644,-0.46688949753749187,0,1
10,DA,0.25121168137390637,0.03951367781155015,73.99106073379517,-0.12932472426654826,-0.04171192695290179,-0.10226585781299327,-0.16121041216871831,-0.12227835387731938,0,2
11,Dragonnet,0.27132795278591654,0.4388079490465208,229.32644319534302,-0.13201235234737396,-0.00743711506947875,-0.1076664924621582,-0.11063218116760254,-0.09846177697181702,0,2
12,CEVAE,0.26322449448195834,0.4558016056211591,430.66429018974304,-0.09478425234556198,-0.045592669397592545,-0.12291977554559708,-0.1378566026687622,-0.09557390958070755,0,2
13,M3E2,0.24445387762658183,0.6172727272727273,181.68833923339844,-0.00522702606394887,-0.1902286410331726,-0.08890967071056366,-0.23826266825199127,-0.2483309656381607,0,2
14,TrueTreat,0.0,0.0,0.0,-0.441013086491916,-0.10003930209180582,-0.2446844960264348,-0.5602232998003644,-0.46688949753749187,0,2
15,DA,0.2599736653906838,0.0750551876379691,73.61257672309875,-0.13387417848125088,-0.02316044387318548,-0.058584874694512123,-0.18477059248384886,-0.11259126546179665,0,3
16,Dragonnet,0.2870469284491016,0.42258973145211093,224.79848980903625,-0.08384452015161514,-0.00427370285615325,-0.05001611262559891,-0.13456329703330994,-0.10491740703582764,0,3
17,CEVAE,0.2676228605457916,0.4522645695278295,437.33452010154724,-0.10212837159633636,-0.032253146171569824,-0.08124756813049316,-0.1561833769083023,-0.10292291641235352,0,3
18,M3E2,0.3399879354486603,0.6190909090909091,184.92200326919556,0.11387991905212402,-0.17299556732177734,-0.0014815377071499825,-0.32975882291793823,0.13153347373008728,0,3
19,TrueTreat,0.0,0.0,0.0,-0.441013086491916,-0.10003930209180582,-0.2446844960264348,-0.5602232998003644,-0.46688949753749187,0,3
20,DA,0.2597915179166462,0.009531374106433677,74.4151291847229,-0.13164997381150545,-0.060048044006457975,-0.07573429026522092,-0.14722227431000565,-0.09923750997159214,0,4
21,Dragonnet,0.2856386941173448,0.4224352009491878,220.89971899986267,-0.06957279145717621,-0.02446979098021984,-0.06886789947748184,-0.11180145293474197,-0.10994427651166916,0,4
22,CEVAE,0.2602760240682735,0.4477044163039494,440.28766083717346,-0.09494876861572266,-0.06238863989710808,-0.11003965139389038,-0.15197017788887024,-0.09212232381105423,0,4
23,M3E2,0.18967885153976816,0.6233333333333333,186.11503672599792,-0.07374253123998642,-0.03780094534158707,-0.12385893613100052,-0.472845196723938,-0.15620781481266022,0,4
24,TrueTreat,0.0,0.0,0.0,-0.441013086491916,-0.10003930209180582,-0.2446844960264348,-0.5602232998003644,-0.46688949753749187,0,4
25,DA,0.2533694362148152,0.04068857589984351,73.85862159729004,-0.12684778213521372,-0.04269088131198897,-0.08017949651619323,-0.1791950985724371,-0.1170892423381038,0,5
26,Dragonnet,0.28319147809085987,0.41523912451293044,220.5666697025299,-0.09398254752159119,0.01494500320404768,-0.09489321708679199,-0.133433535695076,-0.08952799439430237,0,5
27,CEVAE,0.294972069343723,0.44365580635269053,374.8968183994293,-0.08832941204309464,-0.04041380062699318,,-0.16549113392829895,-0.09404256194829941,0,5
28,M3E2,0.1716212866330881,0.6281818181818182,183.7811529636383,-0.25667428970336914,-0.12027639895677567,-0.02312231808900833,-0.4698770046234131,-0.12526743113994598,0,5
29,TrueTreat,0.0,0.0,0.0,-0.441013086491916,-0.10003930209180582,-0.2446844960264348,-0.5602232998003644,-0.46688949753749187,0,5
30,DA,0.2595544594233119,0.025816249050873194,71.123361825943,-0.1452793274357752,-0.0379774368372744,-0.07242846776039173,-0.14760736490942125,-0.11178478788859088,0,6
31,Dragonnet,0.26558940711108586,0.4279428176488401,222.05082607269287,-0.09641949832439423,-0.05455496534705162,-0.09013987332582474,-0.16420631110668182,-0.07958199828863144,0,6
