,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,T4,seed_data,seed_models
0,DA,0.16458505605930687,0.013498312710911134,66.21806311607361,0.009905735754203789,-0.05288443234596181,-0.015539314688803992,0.07197164011194217,0.1878938051403106,6,0
1,Dragonnet,0.1673460566222375,0.4590182348440111,96.47472786903381,0.0301608107984066,0.010191721841692924,-0.04941122978925705,0.07093855738639832,0.18407104909420013,6,0
2,CEVAE,0.18960318942970275,0.4729315538721961,210.5636477470398,,-0.10759936273097992,-0.054136309772729874,0.0343560166656971,0.1286698430776596,6,0
3,M3E2,0.20858921217488513,0.23013698630136986,92.98710775375366,-0.14044667780399323,-0.12854789197444916,-0.1806461066007614,-0.007560089696198702,0.2093687355518341,6,0
4,TrueTreat,0.0,0.0,0.0,0.07794591837187916,-0.18225098090312603,-0.0544551970190005,0.22477294913678475,0.6216951629069662,6,0
5,DA,0.1451430865914531,0.10422812192723696,51.88130187988281,-0.018128047724934142,-0.09602007529747254,-0.006529072018415589,0.1336743927472516,0.21730928304228547,6,1
6,Dragonnet,0.13346937917860616,0.47232783908037507,112.8010265827179,0.004419952630996704,-0.17178378999233246,-0.09054801613092422,0.057955022901296616,0.24125216901302338,6,1
7,CEVAE,0.15453862943442928,0.47667004133606705,217.6943383216858,-0.03215855732560158,-0.10160954296588898,-0.05715126171708107,0.09000382572412491,0.17721311748027802,6,1
8,M3E2,0.18981138987755358,0.28818897637795277,93.79928517341614,-0.21627944707870483,-0.2923341989517212,-0.1562233716249466,0.1291911005973816,0.2742968201637268,6,1
9,TrueTreat,0.0,0.0,0.0,0.07794591837187916,-0.18225098090312603,-0.0544551970190005,0.22477294913678475,0.6216951629069662,6,1
10,DA,0.16005554469166122,0.06645898234683281,52.726733684539795,-0.018961194524395854,-0.09040270713542235,0.02063375200938095,0.10278790584109224,0.20724681843671267,6,2
11,Dragonnet,0.17885615348514966,0.4752729713470093,114.05998921394348,0.027657028287649155,-0.08875314146280289,0.03388606756925583,0.009935066103935242,0.17438027262687683,6,2
12,CEVAE,0.1774144363373225,0.4861617734473855,219.35778498649597,-0.037373270839452744,-0.09772804379463196,-0.04561219364404678,0.020117491483688354,0.14796356856822968,6,2
13,M3E2,0.09024615108665876,0.3268783888458559,93.42940735816956,-0.01796541176736355,-0.17755816876888275,-0.022836165502667427,0.13605134189128876,0.3914091885089874,6,2
14,TrueTreat,0.0,0.0,0.0,0.07794591837187916,-0.18225098090312603,-0.0544551970190005,0.22477294913678475,0.6216951629069662,6,2
15,DA,0.15340896855237118,0.1311806256306761,52.98095703125,0.02803169537631273,-0.043144532333748285,-0.010900293435239756,0.08618695013376375,0.22581189429683618,6,3
16,Dragonnet,0.17605880101492496,0.44861286338055295,103.36060070991516,0.0002919153484981507,-0.015010835602879524,0.019699905067682266,0.03917592018842697,0.24604743719100952,6,3
17,CEVAE,0.17022821330275675,0.4640210382902204,201.25040817260742,-0.004607166163623333,-0.05938900262117386,-0.0519290417432785,,0.1487235277891159,6,3
18,M3E2,0.19530137962019026,0.2166199813258637,97.29028582572937,-0.13757723569869995,-0.19003622233867645,-0.21085645258426666,0.01793120987713337,0.23173965513706207,6,3
19,TrueTreat,0.0,0.0,0.0,0.07794591837187916,-0.18225098090312603,-0.0544551970190005,0.22477294913678475,0.6216951629069662,6,3
20,DA,0.15856851583671458,0.042598509052183174,53.25380206108093,0.01429240562043679,-0.0859721916321273,0.000968322662353664,0.07887515119407743,0.19010620336989592,6,4
21,Dragonnet,0.14585935738904207,0.47504116574607724,122.23121380805969,0.08897430449724197,-0.16618593037128448,-0.009564506821334362,0.07814348489046097,0.11101196706295013,6,4
22,CEVAE,0.1782310989468997,0.48639800379544884,229.5456051826477,-0.01639994978904724,-0.08948298543691635,-0.03555029630661011,0.027061711996793747,0.13426966965198517,6,4
23,M3E2,0.19145774417313205,0.23498233215547704,99.00172519683838,-0.03305527940392494,-0.13894300162792206,-0.16355225443840027,-0.03713412582874298,0.18971975147724152,6,4
24,TrueTreat,0.0,0.0,0.0,0.07794591837187916,-0.18225098090312603,-0.0544551970190005,0.22477294913678475,0.6216951629069662,6,4
25,DA,0.14622967039417759,0.0709812108559499,54.25427460670471,0.010523571184668306,-0.08104979612703613,0.007148228673082722,0.12238944923706492,0.2231572684911822,6,5
26,Dragonnet,0.1367421653836673,0.4526181308015903,107.7529628276825,0.045372091233730316,-0.06844951212406158,-0.05214981362223625,0.15313175320625305,0.15830621123313904,6,5
27,CEVAE,0.16138108260739883,0.4627140985908177,217.39972019195557,-0.02938789688050747,-0.12293612211942673,-0.046288926154375076,,0.15098577737808228,6,5
28,M3E2,0.17414186989188557,0.3110761979575805,92.54294610023499,-0.16756117343902588,-0.25061702728271484,-0.038373131304979324,0.03134654462337494,0.27436742186546326,6,5
29,TrueTreat,0.0,0.0,0.0,0.07794591837187916,-0.18225098090312603,-0.0544551970190005,0.22477294913678475,0.6216951629069662,6,5
