,Method,MAE,F1_Test,Time(s),T0,T1,T2,T3,T4,seed_data,seed_models
0,DA,0.15495113873421665,0.0029585798816568047,265.3917427062988,-0.02814989782623447,0.0027032123484858383,-0.14803966838598082,-0.040298333703703594,0.022207439286038615,5,0
1,CEVAE,0.14803561209071042,0.45768443566533873,417.9908781051636,-0.048118315637111664,-0.014024107716977596,-0.15255382657051086,-0.06237536668777466,-0.028112949803471565,5,0
2,M3E2,0.22954498786385985,0.5921212121212122,180.36279487609863,-0.23332279920578003,0.0026693588588386774,-0.09094361960887909,-0.2209799438714981,0.11650621891021729,5,0
3,TrueTreat,0.3564570796968169,0.0,0.0,0.11030687172126036,-0.08271753797352191,0.607692796751945,-0.06302303240076923,0.027402460394545695,5,0
4,DA,0.1548097482809368,0.015536723163841807,182.7855372428894,-0.018562694628406203,0.010332399638308176,-0.10999514259354752,-0.01942904223285577,0.0023672367900479468,5,1
5,CEVAE,0.20587638330148547,0.46260357779310407,331.34765553474426,,,-0.0989311933517456,-0.031330570578575134,-0.04191640391945839,5,1
6,M3E2,0.2172713885321238,0.5703030303030303,182.0337266921997,0.033897072076797485,0.16645528376102448,-0.020260078832507133,0.04761791229248047,0.22817495465278625,5,1
7,TrueTreat,0.3564570796968169,0.0,0.0,0.11030687172126036,-0.08271753797352191,0.607692796751945,-0.06302303240076923,0.027402460394545695,5,1
8,DA,0.15498427876631005,0.018571428571428572,181.0504710674286,-0.015740370130555043,-0.0014685566633255804,-0.10906616667611388,-0.012292781136610307,-0.0051761064037589635,5,2
9,CEVAE,0.16438902313191056,0.4590748131695392,405.0612349510193,-0.05100614205002785,-0.03541848435997963,-0.10986781865358353,-0.07141001522541046,-0.03965279832482338,5,2
10,M3E2,0.18079138094860675,0.5842424242424242,178.90801000595093,-0.07341610640287399,0.04726886376738548,-0.15992149710655212,-0.1447623372077942,-0.20346325635910034,5,2
11,TrueTreat,0.3564570796968169,0.0,0.0,0.11030687172126036,-0.08271753797352191,0.607692796751945,-0.06302303240076923,0.027402460394545695,5,2
12,DA,0.13812690351437487,0.012756909992912829,181.82494521141052,-0.04998050956381542,0.008615548934147899,-0.1513340116413725,-0.010286839641702277,-0.000864951172534327,5,3
13,CEVAE,0.13889893772381903,0.46395320359010495,404.29714179039,-0.0871274545788765,-0.01992437243461609,-0.13675189018249512,-0.03367152810096741,-0.028440354391932487,5,3
14,M3E2,0.09352817038603757,0.5754545454545454,178.77766513824463,-0.07125264406204224,0.06339733302593231,-0.22818641364574432,0.042778801172971725,-0.017886655405163765,5,3
15,TrueTreat,0.3564570796968169,0.0,0.0,0.11030687172126036,-0.08271753797352191,0.607692796751945,-0.06302303240076923,0.027402460394545695,5,3
16,DA,0.1450701459878417,0.021141649048625796,181.12957572937012,-0.020374374318620693,0.02206553105434055,-0.13762905637674913,-0.013973723696396535,0.0003032687504802941,5,4
17,CEVAE,0.15566024123061062,0.4672911549132026,403.91499733924866,-0.03497174382209778,-0.010779975913465023,-0.10697150230407715,-0.04540553316473961,-0.027721164748072624,5,4
18,M3E2,0.20021954785007864,0.5778787878787879,180.07946825027466,-0.13716870546340942,-0.06140175834298134,0.06341808289289474,0.0004237848334014416,0.06900402158498764,5,4
19,TrueTreat,0.3564570796968169,0.0,0.0,0.11030687172126036,-0.08271753797352191,0.607692796751945,-0.06302303240076923,0.027402460394545695,5,4
20,DA,0.14635573344327898,0.013303769401330377,183.53532576560974,-0.02405057539089664,0.012625003460613364,-0.14799416233797374,-0.009577455263298838,0.01572825390053766,5,5
21,CEVAE,0.16008258307654025,0.4546397634109548,405.87326550483704,-0.03639689460396767,-0.04528648778796196,-0.11210547387599945,-0.03829538822174072,-0.028995629400014877,5,5
22,M3E2,0.16031461962177213,0.5948484848484848,178.70524764060974,-0.11865060776472092,-0.17366406321525574,-0.45846641063690186,-0.20152448117733002,-0.15047632157802582,5,5
23,TrueTreat,0.3564570796968169,0.0,0.0,0.11030687172126036,-0.08271753797352191,0.607692796751945,-0.06302303240076923,0.027402460394545695,5,5
24,DA,0.1652953491063826,0.014440433212996389,182.28218626976013,-0.019078856198064396,0.007679842789225468,-0.10323196421195853,-0.054395015201278964,0.01092969428784033,5,6
25,CEVAE,0.17013244102079034,0.45738662952697007,403.5208230018616,-0.04413503780961037,-0.03389942646026611,-0.09830493479967117,-0.09426035732030869,-0.028604615479707718,5,6
26,M3E2,0.12929510624054702,0.5881818181818181,178.04279947280884,-0.1464373916387558,-0.06234048679471016,-0.28719374537467957,0.03369828686118126,0.08806072920560837,5,6
27,TrueTreat,0.3564570796968169,0.0,0.0,0.11030687172126036,-0.08271753797352191,0.607692796751945,-0.06302303240076923,0.027402460394545695,5,6
28,DA,0.16608550655195733,0.013206162876008806,180.41683197021484,-0.016610936055718034,-0.012142037899853343,-0.1258694633711843,-0.04727569749280762,0.0223474975519859,5,7
29,CEVAE,0.17167065058652456,0.4533543710508569,384.87949109077454,-0.04000179469585419,-0.03449749946594238,-0.11779182404279709,,-0.036663975566625595,5,7
30,M3E2,0.22647733266063663,0.5833333333333334,179.52124166488647,0.05302402004599571,-0.023393230512738228,-0.06626170873641968,-0.09720901399850845,0.1338794082403183,5,7
31,TrueTreat,0.3564570796968169,0.0,0.0,0.11030687172126036,-0.08271753797352191,0.607692796751945,-0.06302303240076923,0.027402460394545695,5,7
32,DA,0.15570198753496556,0.3146374829001368,181.64307284355164,0.0071224616221064185,-0.05229650169784963,-0.02772915042483681,0.1006338936853227,0.1948282632328133,6,0
33,CEVAE,0.15608117789717782,0.4912120014521964,403.2142632007599,0.014101801440119743,-0.056180521845817566,-0.061780113726854324,0.09999561309814453,0.1633061021566391,6,0
34,M3E2,0.13056960650476085,0.5633333333333334,179.25490832328796,-0.1095651313662529,-0.1543182134628296,-0.1253989189863205,0.15315991640090942,0.32684770226478577,6,0
35,TrueTreat,0.4644480833351027,0.0,0.0,-0.07794591837187916,0.18225098090312603,0.0544551970190005,-0.22477294913678475,-0.6216951629069662,6,0
36,DA,0.15942838818395555,0.35818337617823476,184.26014351844788,0.01849039771398179,-0.06838975637637128,-0.00021496423271654357,0.1039940877359813,0.17288906135892798,6,1
37,CEVAE,0.19059150198832664,0.49240423194234867,355.58520436286926,-0.0017425419064238667,-0.1027647852897644,,0.12101653218269348,0.12226022779941559,6,1
38,M3E2,0.1509433091128098,0.5742424242424242,177.94195413589478,0.0048021432012319565,-0.012290342710912228,-0.11406110227108002,0.1480778306722641,0.24638405442237854,6,1
39,TrueTreat,0.4644480833351027,0.0,0.0,-0.07794591837187916,0.18225098090312603,0.0544551970190005,-0.22477294913678475,-0.6216951629069662,6,1
40,DA,0.1608308004618005,0.35621198957428324,181.38176107406616,0.014523792839271778,-0.061231419866149946,-0.010484984848076665,0.08734391448317547,0.18338209399208025,6,2
41,CEVAE,0.17332093052265102,0.49867292639168886,405.7536313533783,-0.03774731233716011,-0.07274436950683594,-0.0221406240016222,0.0839683935046196,0.15340948104858398,6,2
42,M3E2,0.102074677727543,0.5627272727272727,180.23994398117065,-0.0608181357383728,-0.16845664381980896,-0.10327450931072235,0.20814472436904907,0.32932770252227783,6,2
43,TrueTreat,0.4644480833351027,0.0,0.0,-0.07794591837187916,0.18225098090312603,0.0544551970190005,-0.22477294913678475,-0.6216951629069662,6,2
44,DA,0.15590407859835068,0.35921501706484643,182.8603482246399,0.013610202986601651,-0.0563235115367245,-0.02756420468931868,0.12201814680151747,0.16208374933184097,6,3
45,CEVAE,0.17803975741654923,0.49879628581235047,373.726686000824,-0.0032840347848832607,-0.04802808538079262,-0.037551552057266235,,0.14189262688159943,6,3
46,M3E2,0.12652635575503474,0.563939393939394,179.13799023628235,-0.10712957382202148,-0.21673579514026642,-0.009395399130880833,0.18927264213562012,0.2891837954521179,6,3
