,Method,MAE,F1_Test,Time(s),T0,seed_data,seed_models
0,DA,0.2432675166519198,1.2826659975805144,12.899792909622192,3.7727993794664156,1,0
1,Dragonnet,0.061526643432788575,1.0220878068777337,7.0073957443237305,3.954540252685547,1,0
2,CEVAE,0.06874669869977978,1.1179221868515015,25.798882484436035,4.084813594818115,1,0
3,M3E2,0.12634168783586475,1.538697361946106,16.527332067489624,3.8897252082824707,1,0
4,TrueTreat,8.032133792236671,0.0,0.0,-4.0160668961183354,1,0
5,DA,0.11148692392963477,1.2852116432819058,2.830561876296997,3.9045799721887007,1,1
6,Dragonnet,0.08994876066606494,1.2359913400626206,6.2181556224823,3.9261181354522705,1,1
7,CEVAE,0.22062267144758252,1.1001232862472534,15.092098236083984,4.236689567565918,1,1
8,M3E2,0.13125096479814502,1.4139214754104614,16.386999368667603,3.8848159313201904,1,1
9,TrueTreat,8.032133792236671,0.0,0.0,-4.0160668961183354,1,1
10,DA,0.03223545141516926,1.2995423309253544,3.03275203704834,4.048302347533505,1,2
11,Dragonnet,0.10806621392805127,1.0138178667536766,6.369179010391235,4.124133110046387,1,2
12,CEVAE,0.002295626006908691,1.1310908794403076,15.911953449249268,4.018362522125244,1,2
13,M3E2,0.007168901763744628,1.8025169372558594,17.16088891029358,4.02323579788208,1,2
14,TrueTreat,8.032133792236671,0.0,0.0,-4.0160668961183354,1,2
15,DA,0.14895272772397528,1.3079962914714423,2.8391199111938477,3.86711416839436,1,3
16,Dragonnet,0.06910811582963916,1.1153726769853443,10.379522800445557,3.9469587802886963,1,3
17,CEVAE,0.10433994451921436,1.166161060333252,15.362406492233276,3.911726951599121,1,3
18,M3E2,0.22825251737993213,1.5167258977890015,16.666134357452393,3.7878143787384033,1,3
19,TrueTreat,8.032133792236671,0.0,0.0,-4.0160668961183354,1,3
20,DA,0.027158221753081246,1.4969443657490356,2.802931308746338,3.988908674365254,1,4
21,Dragonnet,0.10241617044050244,1.1217489559602405,5.906171798706055,4.118483066558838,1,4
22,CEVAE,3.0999867192880437,1.1693426370620728,15.56882905960083,0.9160801768302917,1,4
23,M3E2,0.024862395919971192,2.3150813579559326,16.309537887573242,3.9912045001983643,1,4
24,TrueTreat,8.032133792236671,0.0,0.0,-4.0160668961183354,1,4
25,DA,0.0742683259799497,1.4541732786132509,2.803912401199341,3.9417985701383857,1,5
26,Dragonnet,0.07453597863752393,1.1179853301006457,6.382990598678589,4.090602874755859,1,5
27,CEVAE,3.1028418413774297,1.1919951438903809,15.390799522399902,0.9132250547409058,1,5
28,M3E2,0.31657444158952686,1.6411075592041016,17.100658893585205,3.6994924545288086,1,5
29,TrueTreat,8.032133792236671,0.0,0.0,-4.0160668961183354,1,5
