,Method,MAE,F1_Test,Time(s),T0,seed_data,seed_models
0,DA,0.2530513985929055,1.2810258467260394,5.690678119659424,3.76301549752543,1,0
1,Dragonnet,0.07249270597856494,1.0177367391629548,7.060798168182373,3.9435741901397705,1,0
2,CEVAE,0.06874669869977978,1.1179221868515015,17.965774059295654,4.084813594818115,1,0
3,M3E2,0.11987365563947705,1.937740683555603,14.577670812606812,4.1359405517578125,1,0
4,TrueTreat,8.032133792236671,0.0,0.0,-4.0160668961183354,1,0
5,DA,0.11148692392963477,1.2852116432819058,2.77952241897583,3.9045799721887007,1,1
6,Dragonnet,0.08994876066606494,1.2359913761671373,6.236363172531128,3.9261181354522705,1,1
7,CEVAE,0.22062267144758252,1.1001232862472534,14.873777151107788,4.236689567565918,1,1
8,M3E2,0.07407532850664111,1.9055813550949097,14.59907054901123,3.9419915676116943,1,1
9,TrueTreat,8.032133792236671,0.0,0.0,-4.0160668961183354,1,1
10,DA,0.03223545141516926,1.2995423309253544,2.7918436527252197,4.048302347533505,1,2
11,Dragonnet,0.10806621392805127,1.0138178401296247,6.11999249458313,4.124133110046387,1,2
12,CEVAE,0.002295626006908691,1.1310908794403076,14.69428014755249,4.018362522125244,1,2
13,M3E2,0.06726135095197705,1.8723586797714233,14.397281408309937,4.0833282470703125,1,2
14,TrueTreat,8.032133792236671,0.0,0.0,-4.0160668961183354,1,2
15,DA,0.14895272772397528,1.3079962914714423,2.791478395462036,3.86711416839436,1,3
16,Dragonnet,0.06910811582963916,1.1153726794220162,9.630361557006836,3.9469587802886963,1,3
17,CEVAE,0.10433994451921436,1.166161060333252,14.899338722229004,3.911726951599121,1,3
18,M3E2,0.2844449154512212,1.624239444732666,14.590697288513184,3.7316219806671143,1,3
19,TrueTreat,8.032133792236671,0.0,0.0,-4.0160668961183354,1,3
20,DA,0.027158221753081246,1.4969443657490356,2.814817428588867,3.988908674365254,1,4
21,Dragonnet,0.10241617044050244,1.121748975539725,5.807896852493286,4.118483066558838,1,4
22,CEVAE,3.0999867192880437,1.1693426370620728,15.206840753555298,0.9160801768302917,1,4
23,M3E2,0.05349670568864795,2.0200109481811523,14.429285764694214,3.9625701904296875,1,4
24,TrueTreat,8.032133792236671,0.0,0.0,-4.0160668961183354,1,4
25,DA,0.0742683259799497,1.4541732786132509,2.8812925815582275,3.9417985701383857,1,5
26,Dragonnet,0.07453645547468213,1.1179852922634428,6.057066917419434,4.090603351593018,1,5
27,CEVAE,3.1028418413774297,1.1919951438903809,15.1845703125,0.9132250547409058,1,5
28,M3E2,0.12933264891069385,2.376272201538086,14.71517539024353,3.8867342472076416,1,5
29,TrueTreat,8.032133792236671,0.0,0.0,-4.0160668961183354,1,5
30,DA,0.0006581475165639006,1.4194547935487019,2.852846384048462,4.0154087486017715,1,6
31,Dragonnet,0.027071105636768067,1.1910558554680963,8.037603378295898,3.9889957904815674,1,6
32,CEVAE,0.0877777465208247,1.2355620861053467,14.699476480484009,4.10384464263916,1,6
33,M3E2,0.060018671356029785,1.650347352027893,14.510426998138428,4.076085567474365,1,6
34,TrueTreat,8.032133792236671,0.0,0.0,-4.0160668961183354,1,6
35,DA,0.2538255698059637,1.3717489844970234,2.8471686840057373,3.7622413263123717,1,7
36,Dragonnet,0.0740753539426997,1.3484315009116365,10.030137062072754,4.090142250061035,1,7
37,CEVAE,2.6269212834016606,1.4956300258636475,15.059882879257202,1.3891456127166748,1,7
38,M3E2,0.005617750488109863,2.009366035461426,14.834991455078125,4.021684646606445,1,7
39,TrueTreat,8.032133792236671,0.0,0.0,-4.0160668961183354,1,7
40,DA,0.2565628073715658,1.218357657374415,2.8532769680023193,3.794275952671563,2,0
41,Dragonnet,0.007365039492591485,1.1570173821263356,6.960415363311768,4.043473720550537,2,0
42,CEVAE,0.39591055264566766,1.2227147817611694,15.583231210708618,3.654928207397461,2,0
43,M3E2,0.0906712497224964,2.0074877738952637,15.017775535583496,4.141510009765625,2,0
44,TrueTreat,8.101677520086257,0.0,0.0,-4.050838760043129,2,0
45,DA,0.15189114633293688,1.184216259817708,2.93965220451355,3.8989476137101917,2,1
46,Dragonnet,0.18645209917928351,1.1427484756553226,6.438292503356934,4.237290859222412,2,1
47,CEVAE,0.15173893323038445,1.1925339698791504,15.345573663711548,3.899099826812744,2,1
48,M3E2,0.013828567172034845,1.6246447563171387,14.52185344696045,4.037010192871094,2,1
49,TrueTreat,8.101677520086257,0.0,0.0,-4.050838760043129,2,1
50,DA,0.1788641085159388,1.2258931730813942,2.8464930057525635,3.87197465152719,2,2
51,Dragonnet,0.05459851870443,1.2347993120305851,5.994120121002197,4.105437278747559,2,2
52,CEVAE,0.14705877652262078,1.3382524251937866,15.125404834747314,3.903779983520508,2,2
53,M3E2,0.1885657822141491,1.4683338403701782,14.703734874725342,3.8622729778289795,2,2
54,TrueTreat,8.101677520086257,0.0,0.0,-4.050838760043129,2,2
55,DA,0.28695114523115706,1.2501804862082144,2.8474795818328857,3.7638876148119715,2,3
56,Dragonnet,0.1366898501863636,1.2429279708265377,6.3135645389556885,4.187528610229492,2,3
57,CEVAE,0.08263593068216668,1.2511844635009766,14.893638134002686,3.968202829360962,2,3
58,M3E2,0.3389533077726208,1.7311166524887085,14.533434867858887,3.711885452270508,2,3
59,TrueTreat,8.101677520086257,0.0,0.0,-4.050838760043129,2,3
60,DA,0.06509779909014979,1.2822283339924871,2.869448184967041,3.985740960952979,2,4
61,Dragonnet,0.030932613705650702,1.209835865091791,6.457896947860718,4.081771373748779,2,4
62,CEVAE,1.8626225506315075,1.2118695974349976,14.930439233779907,2.188216209411621,2,4
63,M3E2,0.20909123768900262,1.719482660293579,14.508780479431152,3.841747522354126,2,4
64,TrueTreat,8.101677520086257,0.0,0.0,-4.050838760043129,2,4
65,DA,0.2590019170625495,1.14606127102045,2.8998467922210693,3.791836842980579,2,5
66,Dragonnet,0.05623263964559211,1.0854187250162526,8.032872200012207,4.107071399688721,2,5
67,CEVAE,0.13533978810404168,1.0638606548309326,14.910058498382568,3.915498971939087,2,5
68,M3E2,0.20613270154093133,1.4406050443649292,14.503969430923462,3.8447060585021973,2,5
69,TrueTreat,8.101677520086257,0.0,0.0,-4.050838760043129,2,5
70,DA,0.22096771237271318,1.197452145667287,3.1707446575164795,3.8298710476704154,2,6
71,Dragonnet,0.06705789914224969,1.1144715806951642,10.717886209487915,3.983780860900879,2,6
72,CEVAE,0.23379640927408563,1.1504672765731812,14.874084949493408,3.817042350769043,2,6
73,M3E2,0.3500967537412487,1.3786606788635254,14.55495548248291,3.70074200630188,2,6
74,TrueTreat,8.101677520086257,0.0,0.0,-4.050838760043129,2,6
75,DA,0.22187644737358792,1.0438078710924712,2.8526597023010254,3.8289623126695407,2,7
76,Dragonnet,0.0927006686678089,0.9899978486654729,6.06841516494751,4.1435394287109375,2,7
77,CEVAE,1.296825698519691,1.0841889381408691,14.991946697235107,2.7540130615234375,2,7
78,M3E2,0.034177013730064765,1.6304343938827515,14.57249665260315,4.085015773773193,2,7
79,TrueTreat,8.101677520086257,0.0,0.0,-4.050838760043129,2,7
80,DA,0.26678859436586055,1.2312332636690164,2.846803665161133,3.83237505360544,3,0
81,Dragonnet,0.1803108418799919,1.1206266500935178,11.226031064987183,3.9188528060913086,3,0
82,CEVAE,0.38846051343455734,1.114636778831482,15.030983924865723,3.710703134536743,3,0
83,M3E2,0.1138190066002327,2.525096893310547,14.575575113296509,4.212982654571533,3,0
84,TrueTreat,8.198327295942601,0.0,0.0,-4.0991636479713005,3,0
85,DA,0.18615424950424275,1.2221281876886427,2.822028875350952,3.9130093984670578,3,1
86,Dragonnet,0.0856577123023552,1.1203900646801193,6.306463003158569,4.013505935668945,3,1
87,CEVAE,0.10120761744007645,1.2046582698822021,14.906601667404175,4.200371265411377,3,1
88,M3E2,0.2011660302497429,1.5625361204147339,14.407416343688965,3.8979976177215576,3,1
89,TrueTreat,8.198327295942601,0.0,0.0,-4.0991636479713005,3,1
90,DA,0.18336982904705312,1.4775092359022943,2.843381881713867,3.9157938189242474,3,2
91,Dragonnet,0.181287642798571,1.2205315467134965,10.318606615066528,3.9178760051727295,3,2
92,CEVAE,0.11433351389393387,1.2829934358596802,14.986127853393555,4.213497161865234,3,2
93,M3E2,0.4429091180182976,2.658625602722168,14.549291849136353,3.656254529953003,3,2
94,TrueTreat,8.198327295942601,0.0,0.0,-4.0991636479713005,3,2
95,DA,0.24136036982680853,1.109215662127026,2.833611249923706,3.857803278144492,3,3
96,Dragonnet,0.03521192423328934,1.058985663396158,11.645082712173462,4.13437557220459,3,3
97,CEVAE,0.1605876719139534,1.2812663316726685,14.88424301147461,4.259751319885254,3,3
98,M3E2,0.08361160405650558,1.6668846607208252,14.596008062362671,4.015552043914795,3,3
99,TrueTreat,8.198327295942601,0.0,0.0,-4.0991636479713005,3,3
100,DA,0.11358948188896001,1.3509053798247734,2.8180902004241943,3.9855741660823405,3,4
101,Dragonnet,0.045224074044080353,1.3910833548209018,6.145916938781738,4.144387722015381,3,4
102,CEVAE,1.7712186539985222,1.424370527267456,14.874606132507324,2.3279449939727783,3,4
103,M3E2,0.08487880579456863,2.292973756790161,14.432801485061646,4.184042453765869,3,4
104,TrueTreat,8.198327295942601,0.0,0.0,-4.0991636479713005,3,4
105,DA,0.12587818607625456,1.4087559556554918,2.7779412269592285,3.973285461895046,3,5
106,Dragonnet,0.04967271932139816,1.279238110416422,6.160158634185791,4.049490928649902,3,5
107,CEVAE,0.0034574305199104316,1.4650743007659912,14.88471269607544,4.102621078491211,3,5
108,M3E2,0.14122354634776535,1.8096380233764648,14.574976682662964,3.957940101623535,3,5
109,TrueTreat,8.198327295942601,0.0,0.0,-4.0991636479713005,3,5
110,DA,0.08995684035081997,1.2691852940169501,2.830296754837036,4.0092068076204805,3,6
111,Dragonnet,0.0446435178138298,1.0673225599444511,7.061358213424683,4.054520130157471,3,6
112,CEVAE,0.02487743250355301,1.1352766752243042,15.14287781715393,4.1240410804748535,3,6
113,M3E2,0.17311870702281418,1.3517158031463623,14.632549524307251,3.9260449409484863,3,6
114,TrueTreat,8.198327295942601,0.0,0.0,-4.0991636479713005,3,6
115,DA,0.14668821535351118,1.4854474092729835,2.867145538330078,3.9524754326177893,3,7
116,Dragonnet,0.13323247083201828,1.3248311535415496,6.342280626296997,3.9659311771392822,3,7
117,CEVAE,1.6524940694190544,1.5261150598526,14.990138530731201,2.446669578552246,3,7
118,M3E2,0.22917020670399246,2.710850477218628,14.663166999816895,4.328333854675293,3,7
119,TrueTreat,8.198327295942601,0.0,0.0,-4.0991636479713005,3,7
120,DA,0.43925416598694644,1.7835963806810229,2.8230557441711426,3.834424291451548,4,0
121,Dragonnet,0.18882099360182458,1.347552942158895,6.849732875823975,4.08485746383667,4,0
122,CEVAE,1.5956629869337338,1.3015878200531006,14.973117351531982,2.6780154705047607,4,0
123,M3E2,0.1213119867448551,5.371224403381348,14.55827808380127,4.39499044418335,4,0
124,TrueTreat,8.547356914876989,0.0,0.0,-4.2736784574384945,4,0
125,DA,0.5783670689167684,1.4852683803739826,2.7659754753112793,3.695311388521726,4,1
126,Dragonnet,0.35831395357802087,1.4965964219699197,9.845911979675293,3.9153645038604736,4,1
127,CEVAE,2.8728245851393,1.148746371269226,14.879631519317627,1.4008538722991943,4,1
128,M3E2,0.5074504968519467,3.563673257827759,14.468843221664429,3.766227960586548,4,1
129,TrueTreat,8.547356914876989,0.0,0.0,-4.2736784574384945,4,1
130,DA,0.4411630694277364,1.5399801492446197,3.110929489135742,3.832515388010758,4,2
131,Dragonnet,0.16421762675001794,1.5384266573585632,9.650896072387695,4.109460830688477,4,2
132,CEVAE,0.15865405827805823,1.3353450298309326,14.830263614654541,4.432332515716553,4,2
133,M3E2,0.19885364741041833,3.718294858932495,14.500911712646484,4.074824810028076,4,2
134,TrueTreat,8.547356914876989,0.0,0.0,-4.2736784574384945,4,2
135,DA,0.28318222943453275,1.8487078402852741,2.7894153594970703,3.9904962280039618,4,3
136,Dragonnet,0.3499588128919857,1.4114062680098551,13.854103088378906,3.923719644546509,4,3
137,CEVAE,0.1925986650590641,1.3750333786010742,14.982702016830444,4.466277122497559,4,3
138,M3E2,0.4088133928175228,3.6772050857543945,14.614858627319336,3.8648650646209717,4,3
139,TrueTreat,8.547356914876989,0.0,0.0,-4.2736784574384945,4,3
140,DA,0.16439105569239398,1.5783985284968118,2.877114772796631,4.1092874017461005,4,4
141,Dragonnet,0.2022530195112484,1.4727781717517203,6.15948486328125,4.071425437927246,4,4
142,CEVAE,3.221901094615008,1.2571929693222046,14.823245525360107,1.0517773628234863,4,4
143,M3E2,0.005701387227032839,4.654211044311523,14.481285333633423,4.279379844665527,4,4
144,TrueTreat,8.547356914876989,0.0,0.0,-4.2736784574384945,4,4
145,DA,0.10390158134520355,1.6830049177956377,3.0579142570495605,4.169776876093291,4,5
146,Dragonnet,0.39284125536635095,1.3810489079082915,12.07577919960022,3.8808372020721436,4,5
147,CEVAE,0.001450860798810183,1.162889838218689,14.913334846496582,4.275129318237305,4,5
148,M3E2,0.16379705637648279,3.5474252700805664,14.531886339187622,4.109881401062012,4,5
149,TrueTreat,8.547356914876989,0.0,0.0,-4.2736784574384945,4,5
150,DA,0.1383514115027049,1.5024135594509063,2.857651472091675,4.13532704593579,4,6
151,Dragonnet,0.16624561518385583,1.3379032736803194,13.177373886108398,4.107432842254639,4,6
152,CEVAE,0.10540374547288245,1.1576441526412964,14.991966962814331,4.379082202911377,4,6
153,M3E2,0.07951370447828943,3.0932626724243164,14.493431329727173,4.194164752960205,4,6
154,TrueTreat,8.547356914876989,0.0,0.0,-4.2736784574384945,4,6
155,DA,0.49352659794057274,1.4741757222466716,2.867709159851074,3.7801518594979218,4,7
156,Dragonnet,0.2882980462904232,1.4016134088529335,7.458830833435059,3.9853804111480713,4,7
157,CEVAE,0.9937786218519467,1.1416739225387573,14.828491926193237,3.279899835586548,4,7
158,M3E2,0.1291998270158512,4.61722993850708,14.659555912017822,4.402878284454346,4,7
159,TrueTreat,8.547356914876989,0.0,0.0,-4.2736784574384945,4,7
160,DA,0.16494397441846953,2.4083625865496914,2.809377908706665,4.327383682124687,5,0
161,Dragonnet,0.22747671227669297,1.7728692033214466,12.594207525253296,4.38991641998291,5,0
162,CEVAE,1.1328116617701012,1.2975330352783203,14.95303726196289,5.295251369476318,5,0
163,M3E2,0.11257017035270156,6.989087104797363,14.503236532211304,4.049869537353516,5,0
164,TrueTreat,8.324879415412434,0.0,0.0,-4.162439707706217,5,0
165,DA,0.3260050306430311,2.474269540815376,2.7904200553894043,3.836434677063186,5,1
166,Dragonnet,0.11632144827628554,1.8215057847262,12.69060230255127,4.046118259429932,5,1
167,CEVAE,0.5249248705408531,1.2929668426513672,14.948171615600586,4.68736457824707,5,1
168,M3E2,0.11109172921394883,6.472508907318115,14.61351466178894,4.273531436920166,5,1
